snapshot_number,byte_offset,particle_count,time,x_min,y_min,z_min,x_max,y_max,z_max
220,456698036,10792,378.513533,-30.0,-5.0,-30.0,30.0,5.0,30.0
221,458768991,10792,380.2340491,-30.0,-5.0,-30.0,30.0,5.0,30.0
222,460839294,10792,381.9545651,-30.0,-5.0,-30.0,30.0,5.0,30.0
223,462911967,10792,383.6750812,-30.0,-5.0,-30.0,30.0,5.0,30.0
224,464984236,10792,385.3955973,-30.0,-5.0,-30.0,30.0,5.0,30.0
225,467056062,10792,387.1161133,-30.0,-5.0,-30.0,30.0,5.0,30.0
226,469127693,10792,388.8366294,-30.0,-5.0,-30.0,30.0,5.0,30.0
227,471199775,10792,390.5571454,-30.0,-5.0,-30.0,30.0,5.0,30.0
228,473271988,10792,392.2776615,-30.0,-5.0,-30.0,30.0,5.0,30.0
229,475344945,10792,393.9981776,-30.0,-5.0,-30.0,30.0,5.0,30.0
230,477417507,10792,395.7186936,-30.0,-5.0,-30.0,30.0,5.0,30.0
231,479489977,10792,397.4392097,-30.0,-5.0,-30.0,30.0,5.0,30.0
232,481560596,10792,399.1597257,-30.0,-5.0,-30.0,30.0,5.0,30.0
233,483630549,10792,400.8802418,-30.0,-5.0,-30.0,30.0,5.0,30.0
234,485701176,10792,402.6007578,-30.0,-5.0,-30.0,30.0,5.0,30.0
235,487771192,10792,404.3212739,-30.0,-5.0,-30.0,30.0,5.0,30.0
236,489840813,10792,406.04179,-30.0,-5.0,-30.0,30.0,5.0,30.0
237,491912268,10792,407.762306,-30.0,-5.0,-30.0,30.0,5.0,30.0
238,493982804,10792,409.4828221,-30.0,-5.0,-30.0,30.0,5.0,30.0
239,496053796,10792,411.2033381,-30.0,-5.0,-30.0,30.0,5.0,30.0
240,498126467,10792,412.9238542,-30.0,-5.0,-30.0,30.0,5.0,30.0
241,500198353,10792,414.6443703,-30.0,-5.0,-30.0,30.0,5.0,30.0
242,502270782,10792,416.3648863,-30.0,-5.0,-30.0,30.0,5.0,30.0
243,504342596,10792,418.0854024,-30.0,-5.0,-30.0,30.0,5.0,30.0
244,506413993,10792,419.8059184,-30.0,-5.0,-30.0,30.0,5.0,30.0
245,508487872,10792,421.5264345,-30.0,-5.0,-30.0,30.0,5.0,30.0
246,510560608,10792,423.2469506,-30.0,-5.0,-30.0,30.0,5.0,30.0
247,512633889,10792,424.9674666,-30.0,-5.0,-30.0,30.0,5.0,30.0
248,514705816,10792,426.6879827,-30.0,-5.0,-30.0,30.0,5.0,30.0
