size_ratio,simulation_number,normalised_l1_separation,overlap_fraction,small_large_spatial_correlation,small_centre_x,small_centre_z,large_centre_x,large_centre_z,centre_of_mass_separation
1.464646,47,0.44971443948082707,0.5502963431980222,0.16260187894202854,-12.034602864820634,-9.52988593817605,-12.553231795599105,-10.830538411177589,1.4002402734407535
1.474747,48,0.46477444607743545,0.5352775944505204,0.16104573816749937,-12.05469069681863,-9.499377449249305,-12.583304589612881,-10.822137636639608,1.424474345504306
1.484848,49,0.4691688818954864,0.5308771792205644,0.15759759956606145,-12.053836930175747,-9.501847030249264,-12.583626641397382,-10.836678552196538,1.4361240650098377
1.494949,50,0.4751459161372587,0.524855669634141,0.11854497710183944,-12.055584180022144,-9.499882662257743,-12.579460004702081,-10.840806474736498,1.4396258369995456
1.505051,51,0.4668400476494147,0.53323578352637,0.12824887908016078,-12.041985758693956,-9.53977781852757,-12.562613762250763,-10.864491754380424,1.4233483515746612
1.515152,52,0.47516783309316013,0.5248479348691865,0.11873286923983331,-12.036096402508893,-9.516381554920159,-12.592654405287984,-10.846836216481352,1.44217419784413
1.525253,53,0.47295236621079423,0.5270848821740606,0.13924476160030658,-12.049940195733836,-9.53411979194752,-12.588319583288422,-10.849240665086999,1.4210542832386095
1.535354,54,0.48199801263957337,0.5180281744503114,0.1236134535501832,-12.048116777491137,-9.510855248453511,-12.562117440443375,-10.89005921696228,1.4718696505688529
1.545455,55,0.4822824090957051,0.5177837659274374,0.12459449085220606,-12.058579356634496,-9.516120044458512,-12.573726382781981,-10.891533617335039,1.468720175867946
1.555556,56,0.49276354486783625,0.507314402072184,0.08765313621118502,-12.042968199974593,-9.50385360696312,-12.607629565772548,-10.865184039534832,1.473792049330806
1.565657,57,0.4830190265092345,0.5170619613258483,0.10215185933310819,-12.053498726467511,-9.528751980776708,-12.562333655322002,-10.900092020952117,1.4626983594065621
1.575758,58,0.4986364268732724,0.5013756422719226,0.09775705742511832,-12.072866126375065,-9.505063589758645,-12.598545372829347,-10.91609504207655,1.50577170566561
1.585859,59,0.49770429907597147,0.5023208957658164,0.09138521005118302,-12.039859574850405,-9.533388985164242,-12.568550079698413,-10.930307434902755,1.4936180251778868
1.59596,60,0.5042542773129816,0.4957834230130057,0.07732595003768068,-12.020301219346848,-9.546620274651318,-12.560335061216067,-10.955555636347293,1.5088854839918764
1.606061,61,0.50491908430617,0.49512947332627355,0.08710561575520666,-12.029385420143642,-9.537399860045559,-12.579376129942387,-10.930180545868817,1.497440422743834
1.616162,62,0.5143359099256134,0.4856905629424162,0.0750404875596672,-12.027031355517394,-9.519039069036252,-12.578153875879355,-10.929239002828115,1.5140673319627158
1.626263,63,0.5096124804465588,0.49040021881828666,0.14183476258040134,-12.059252259060692,-9.532859698053143,-12.592706720636636,-10.941444617528767,1.5062155018288155
1.636364,64,0.5155669242652337,0.48446502157167615,0.06690781320218565,-12.03522863677173,-9.542614565873636,-12.578956670277966,-10.965280128639234,1.5230290469651961
1.646465,65,0.5221648438334274,0.47789253863009873,0.06558552921432716,-12.03558566878494,-9.530312244733258,-12.560640267247432,-10.991097367135666,1.5522807430354946
1.656566,66,0.5152830340940795,0.4847517159972605,0.0987071372331615,-12.066203390591326,-9.516566038057753,-12.606005190256601,-10.945184303476113,1.5271987857541114
1.666667,67,0.525822980331475,0.4741879042323926,0.04391440233260356,-12.033685153307047,-9.529021445473258,-12.563133941313875,-11.00161004729257,1.5648748222557778
1.676768,68,0.5270253503755292,0.4729825032557932,0.06921101215915999,-12.023584732856639,-9.559986737335352,-12.546850926328656,-11.016571889958838,1.5477234300978573
1.686869,69,0.523371555160867,0.4766376165654654,0.067094444503129,-12.056909469806461,-9.549605466296395,-12.595431210307506,-10.978071645373573,1.5266044968359118
1.69697,70,0.5281756937669286,0.47188181214418373,0.04699107102458746,-12.057305339574471,-9.537190675108135,-12.567797679797092,-10.997302974430887,1.5467806425151376
1.707071,71,0.5331308299612761,0.46687432908840615,0.05782255495524522,-12.029737571211314,-9.574300372743526,-12.55868914845606,-11.05044470115533,1.568053522483222
1.717172,72,0.532864316448158,0.4671411074198274,0.037715992062924475,-12.0440640296633,-9.542988341034318,-12.586601125436882,-11.001118394112881,1.5557923228957407
1.727273,73,0.5358706326543582,0.46413389862245685,0.06762425360011359,-12.03842900045358,-9.572563369632496,-12.566575080820074,-11.028798885389127,1.5490513740859195
1.737374,74,0.5451235634291726,0.4549417765673402,0.02159131384932158,-12.061202294934873,-9.530750020815711,-12.5655922088517,-11.0354508445884,1.5869888954631133
1.747475,75,0.5390346676125388,0.4610081779975313,0.061576866446166334,-12.046040001187619,-9.561269721297192,-12.56773689944172,-11.037243723895457,1.5654606063372831
