size_ratio,normalised_l1_separation,overlap_fraction,small_large_spatial_correlation,small_centre_x,small_centre_z,large_centre_x,large_centre_z,centre_of_mass_separation
1.175,0.23574496055181907,0.7642550394481809,0.7039449226101275,-12.157011339397279,-9.683047270033237,-12.501412411120155,-10.410155244562398,0.8045483856349259
1.18,0.24066461366052877,0.7593353863394711,0.6936606139721939,-12.155149345553065,-9.675468904377704,-12.504518639441518,-10.418537856080437,0.8211031424228721
1.185,0.24553123927683762,0.7544687607231624,0.6834533916821618,-12.15327788739935,-9.668140655843027,-12.5074860876665,-10.426902754325749,0.8373669274758806
1.19,0.250348335399841,0.7496516646001588,0.6734470563543727,-12.151396255457039,-9.661056278134959,-12.510329446383269,-10.435235566911713,0.8533385065256143
1.195,0.25511940044481884,0.7448805995551813,0.6635243798257742,-12.14950380052286,-9.654208955469404,-12.513062530679475,-10.443523806860496,0.8690183455483735
1.2,0.25984733490718426,0.7401526650928159,0.6536840007859671,-12.147599957983125,-9.64759145567787,-12.515698078706464,-10.451756995258352,0.8844085263772731
1.205,0.264535767363805,0.7354642326361951,0.6438581132852276,-12.145684270778272,-9.641196273445841,-12.518247597548397,-10.45992672103802,0.899512633745915
1.21,0.2691872748067551,0.730812725193245,0.6341746388447616,-12.14375641066387,-9.635015762478668,-12.520721258799586,-10.468026635732352,0.9143356121735874
1.215,0.27380594193611624,0.7261940580638838,0.6244979845620711,-12.141816197433364,-9.62904225570519,-12.523127843252974,-10.476052385483321,0.9288835939903476
1.22,0.2783936808693991,0.7216063191306008,0.6149614877829315,-12.139863615790489,-9.623268172907544,-12.525474731462863,-10.484001486490385,0.9431637024617681
1.225,0.28295256938124197,0.7170474306187579,0.6054954657375996,-12.137898829585977,-9.61768611540843,-12.527767934876891,-10.49187315310032,0.9571838361197182
1.23,0.28748558411071656,0.7125144158892835,0.5960977925507384,-12.135922193165062,-9.612288947658124,-12.530012160847557,-10.499668089694568,0.9709524418576462
1.235,0.2919938094465356,0.7080061905534644,0.5867667535081935,-12.133934259610053,-9.607069865747512,-12.532210904145904,-10.507388258392506,0.9844782850411699
1.24,0.296479345055171,0.7035206549448293,0.5775011407058454,-12.131935785706425,-9.60202245303425,-12.534366557542276,-10.51503663446056,0.9977702248543776
1.245,0.30094194802622204,0.699058051973778,0.5682242041748727,-12.129927733511748,-9.597140723212133,-12.5364805344693,-10.522616960386816,1.0108370024595665
1.25,0.3053855105514108,0.6946144894485893,0.5590870473625903,-12.127911268463947,-9.592419151281877,-12.538553397593258,-10.530133508081416,1.0236870484497822
1.255,0.3098082921739107,0.6901917078260895,0.5500153816434379,-12.125887754028291,-9.587852692998155,-12.54058498814052,-10.537590856831,1.0363283146864792
1.26,0.3142086017575125,0.6857913982424876,0.5410105386358887,-12.123858742949789,-9.583436793474586,-12.542574551923087,-10.544993692684141,1.0487681340990758
1.2650000000000001,0.31858537164237044,0.6814146283576298,0.5320745087883648,-12.121825965247657,-9.579167385726544,-12.544520859075089,-10.552346633044463,1.0610131105118612
1.27,0.3229378177315111,0.6770621822684889,0.5232914791941443,-12.11979131315921,-9.57504088002038,-12.546422315475805,-10.559654078520644,1.0730690391575857
1.275,0.3272653729982607,0.6727346270017394,0.5145850477216384,-12.117756823309291,-9.571054144976854,-12.54827706465092,-10.56692009260327,1.0849408573036206
1.28,0.3315667213057486,0.6684332786942514,0.5058754374277808,-12.115724656445737,-9.567204481443309,-12.550083079593902,-10.574148308540632,1.0966326233927044
1.2850000000000001,0.3358387179179998,0.6641612820820003,0.4972483514927767,-12.113697075138786,-9.563489590202703,-12.551838244436423,-10.581341861873119,1.1081475222993218
1.29,0.340078500854398,0.6599214991456022,0.4887083683673347,-12.11167641989009,-9.559907534624294,-12.55354042623536,-10.588503346439179,1.1194878937204344
1.295,0.3442860414909976,0.6557139585090024,0.4801740870181591,-12.109665084133239,-9.556456699379819,-12.555187537358174,-10.595634791254065,1.130655280339222
1.3,0.3484612914317536,0.6515387085682465,0.4718222621958502,-12.107665488630158,-9.553135746347676,-12.556777589064355,-10.60273765544751,1.141650492200846
1.305,0.3525991030625159,0.6474008969374845,0.46348465253699955,-12.105680055776165,-9.54994356880565,-12.55830873692416,-10.609812838389683,1.152473683693629
1.31,0.35669612720011495,0.6433038727998849,0.45534176588842784,-12.103711184319295,-9.54687924496947,-12.55977931871066,-10.61686070219998,1.1631244396126967
1.315,0.3607491976391615,0.6392508023608384,0.4473115336963266,-12.101761224977825,-9.543941991870712,-12.561187885366817,-10.623881103987323,1.1736018669699686
1.32,0.36475553451077486,0.6352444654892254,0.4393989443735878,-12.099832457404359,-9.541131120485101,-12.562533225600856,-10.630873435386947,1.183904689481912
1.325,0.36871346543457095,0.631286534565429,0.4316999312778804,-12.097927068896764,-9.538445992923283,-12.563814384612355,-10.637836667213568,1.1940313419928001
1.33,0.3726204029475851,0.6273795970524148,0.4240373033283233,-12.096047135198127,-9.535885982384155,-12.565030677405234,-10.64476939732639,1.2039800624574646
1.335,0.37647488615745844,0.6235251138425415,0.4165980971536694,-12.094194603661938,-9.533450436449227,-12.566181697106106,-10.651669900083037,1.2137489794959089
1.34,0.38027430712546295,0.6197256928745369,0.4092016130121154,-12.092371278987972,-9.531138644169848,-12.567267318679589,-10.658536176036112,1.2233361939274598
1.345,0.3840171659072187,0.6159828340927812,0.4018490700687411,-12.090578811661306,-9.528949807271182,-12.568287698415345,-10.665366000789186,1.2327398530808245
1.35,0.38770112422687897,0.6122988757731211,0.3947301928430319,-12.088818689154714,-9.526883015671759,-12.569243269553585,-10.67215697217237,1.2419582170467718
1.355,0.39132475148931434,0.6086752485106856,0.38765892409210423,-12.087092229885652,-9.524937227399255,-12.570134734414506,-10.678906555117285,1.250989716382797
1.3599999999999999,0.3948882451588162,0.6051117548411837,0.3808265270628836,-12.085400579855534,-9.523111252874441,-12.570963053400062,-10.68561212380405,1.2598330010865646
1.365,0.39838973701462427,0.6016102629853756,0.3743319507295266,-12.083744711842625,-9.521403743439238,-12.571729431241062,-10.6922710008178,1.2684869809215888
1.37,0.40182824417819224,0.5981717558218077,0.36779225373313346,-12.082125426972295,-9.519813183922736,-12.572435300867028,-10.698880493188948,1.2769508574016992
1.375,0.405203493471811,0.5947965065281892,0.36149582757485155,-12.080543358449914,-9.51833788897236,-12.57308230527838,-10.70543792530024,1.285224147918389
1.38,0.4085154495059935,0.5914845504940065,0.3553461183014432,-12.078998977213157,-9.516976002826269,-12.573672277799137,-10.711940668726822,1.2933067026283624
1.385,0.4117638693261342,0.5882361306738657,0.3494400159401672,-12.077492599241591,-9.515725502167266,-12.574207221082913,-10.718386169134323,1.3011987148090083
1.3900000000000001,0.4149490053786795,0.5850509946213204,0.34358099425585803,-12.076024394251498,-9.514584201677225,-12.574689285234662,-10.724771970397635,1.3089007254409077
1.395,0.41807153966787314,0.5819284603321268,0.3377662458970706,-12.074594395502649,-9.513549761902913,-12.575120745395644,-10.731095736122175,1.3164136227929026
1.4,0.4211325860432928,0.5788674139567073,0.33219037483455977,-12.073202510449521,-9.512619699047342,-12.575503979119997,-10.737355268753403,1.3237386377724822
1.405,0.4241331784320963,0.5758668215679037,0.3266536510064498,-12.071848531981807,-9.511791396314072,-12.575841443847972,-10.743548526451917,1.3308773357664323
1.4100000000000001,0.42707372839036856,0.5729262716096314,0.3214510331845604,-12.070532150015987,-9.511062116452473,-12.576135654754893,-10.749673637894508,1.3378316056414639
1.415,0.4299591870296645,0.5700408129703356,0.316182259347421,-12.069252963220894,-9.510429015178802,-12.5763891632263,-10.755728915138063,1.344603646504972
1.42,0.4327879687133556,0.5672120312866443,0.31104263862048265,-12.068010490683415,-9.50988915517857,-12.576604536179634,-10.761712864656815,1.351195952749298
1.425,0.4355600311966477,0.5644399688033521,0.3060289851466992,-12.066804183345683,-9.509439520428769,-12.576784336422014,-10.767624196635893,1.3576112978220913
1.43,0.43827824385918157,0.5617217561408183,0.30113799177284595,-12.065633435070467,-9.50907703061247,-12.576931104202892,-10.773461832577745,1.3638527170853225
1.435,0.4409422041071527,0.5590577958928473,0.29646726733881507,-12.06449759321672,-9.508798555431902,-12.577047340089809,-10.779224911254255,1.3699234900488908
1.44,0.4435542682682297,0.5564457317317703,0.29181163153478945,-12.063395968631674,-9.50860092865843,-12.577135489266517,-10.7849127930178,1.3758271221947211
1.445,0.4461149809663207,0.5538850190336793,0.28726832695394333,-12.062327844988364,-9.508480961787985,-12.577197927324772,-10.790525062469372,1.3815673265451263
1.45,0.44862694325132774,0.5513730567486722,0.2828338817555609,-12.061292487418893,-9.508435457198125,-12.577236947595269,-10.796061529472412,1.387148005076315
1.455,0.45109093733948097,0.548909062660519,0.2785048495748557,-12.060289150412068,-9.508461220727304,-12.57725475003933,-10.801522228496685,1.3925732300355134
1.46,0.4535083586537908,0.546491641346209,0.2742778306950701,-12.059317084961256,-9.508555073618531,-12.577253431701216,-10.806907416277825,1.397847225187078
1.465,0.4558792583615918,0.5441207416384084,0.2701494904594119,-12.058375544962109,-9.508713863787682,-12.577234978701489,-10.812217567784097,1.4029743469902525
1.47,0.4582049615730494,0.5417950384269506,0.26611657500359015,-12.057463792872356,-9.508934476391968,-12.57720125973478,-10.817453370492615,1.407959065697206
1.475,0.4604866795959813,0.5395133204040187,0.26217592442206916,-12.056581104655542,-9.509213843686412,-12.577154021020421,-10.822615716991388,1.4128059463541534
1.48,0.46272563141588074,0.5372743685841194,0.25832448350632425,-12.055726774038623,-9.509548954165735,-12.577094882641667,-10.827705695940823,1.4175196296896317
