size_ratio,bulk_integrated_volume,small_integrated_volume,large_integrated_volume,bulk_minimum,small_minimum,large_minimum,bulk_maximum,small_maximum,large_maximum,bulk_fraction_below_minus_1e_5,small_fraction_below_minus_1e_5,large_fraction_below_minus_1e_5,pointwise_identity_error
1.28,565.5335508712787,282.75843603248575,282.77511483879306,-9.92626960688686e-07,-4.7017235140575286e-07,-8.818601306953293e-07,0.5604432235183602,0.4879870538209765,0.3901150250979185,0.0,0.0,0.0,0.0
1.2850000000000001,565.5337713754908,282.75829600461884,282.77547537087196,-9.107335533865211e-07,-3.92231797957898e-07,-9.03792227845009e-07,0.5605237562218982,0.4895223933013587,0.39157200080545135,0.0,0.0,0.0,0.0
1.29,565.5339998675048,282.7581609354282,282.7758389320767,-8.426677258371948e-07,-3.1146747552717485e-07,-9.214202329011794e-07,0.5606051786385999,0.491007223160461,0.3930334049751434,0.0,0.0,0.0,0.0
1.295,565.534236490012,282.7580306612535,282.7762058287585,-7.773868888577778e-07,-2.70066019749408e-07,-9.349288955976313e-07,0.5606875178283898,0.4924426711858395,0.39448368673338746,0.0,0.0,0.0,0.0
1.3,565.5344813447532,282.7579050304985,282.7765763142548,-7.055163802397484e-07,-2.4158019157380106e-07,-9.44497327512234e-07,0.5607707974091117,0.49382974787377903,0.3959221969255292,0.0,0.0,0.0,0.0
1.305,565.5347344881017,282.7577839025224,282.77695058557947,-6.274185747679734e-07,-2.1166503945558593e-07,-9.5029847766464e-07,0.560855037271569,0.4951693614113029,0.39734825356504744,0.0,0.0,0.0,0.0
1.31,565.5349959282253,282.75766714648825,282.77732878173697,-5.457150975154578e-07,-1.8032222842398313e-07,-9.524989167917891e-07,0.5609402533703941,0.4964623329997627,0.39876115510334464,0.0,0.0,0.0,0.0
1.315,565.5352656235881,282.75755464019574,282.77771098339235,-5.145885869655896e-07,-1.5248172174411516e-07,-9.512588667483445e-07,0.5610264575821508,0.49775978726278125,0.4001601934119663,0.0,0.0,0.0,0.0
1.32,565.5355434825775,282.75744626892384,282.77809721365367,-4.811183252049936e-07,-1.4407624810417293e-07,-9.467324171575633e-07,0.5611136576228882,0.49901342305442575,0.4015446662168344,0.0,0.0,0.0,0.0
1.325,565.5358293640531,282.7573419243045,282.77848743974863,-4.454094948173393e-07,-1.3987710738159585e-07,-9.390678779727465e-07,0.5612018570182843,0.5002229691649303,0.4029138887526286,0.0,0.0,0.0,0.0
1.33,565.5361230786507,282.7572415032475,282.7788815754032,-4.0756885706590057e-07,-1.3914465199399756e-07,-9.284082234859108e-07,0.5612910551204564,0.5013889456387276,0.404267204439026,0.0,0.0,0.0,0.0
1.335,565.5364243906897,282.75714490693184,282.7792794837579,-3.677045802514705e-07,-1.3798871524760682e-07,-9.148915901624665e-07,0.5613812471664065,0.5025118619442543,0.40560399441776174,0.0,0.0,0.0,0.0
1.34,565.53673302056,282.7570520398773,282.7796809806826,-3.259260322964176e-07,-1.363948366017828e-07,-8.986517972261891e-07,0.5614724243738581,0.5035922285787595,0.4069236858289405,0.0,0.0,0.0,0.0
1.345,565.5370486474767,282.7569628091037,282.78008583837294,-2.823435427358112e-07,-1.343500482084077e-07,-8.798188649958984e-07,0.5615645740709245,0.504630567299073,0.4082257587452143,0.0,0.0,0.0,0.0
1.35,565.5373709125203,282.7568771233867,282.7804937891337,-2.503047956469901e-07,-1.3184295236770495e-07,-8.585195114813024e-07,0.5616576798565875,0.5056274199065164,0.4095097517219375,0.0,0.0,0.0,0.0
