field,fold,rank,original_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error
bulk,1,4,18,1.181818,0.9840588726773075,0.0021577109330680765,0.005758326592193608,0.0036006156591255312
bulk,1,4,23,1.232323,0.9840588726773075,0.0030408062612650704,0.005927297261571564,0.0028864910003064933
bulk,1,4,29,1.292929,0.9840588726773075,0.002462453385067079,0.0028262102082515965,0.0003637568231845173
bulk,1,4,34,1.343434,0.9840588726773075,0.0030537387605292596,0.004541646413206917,0.0014879076526776577
bulk,1,4,40,1.40404,0.9840588726773075,0.002636445450429442,0.0030633291033780874,0.00042688365294864554
bulk,1,4,46,1.464646,0.9840588726773075,0.0027868136430169448,0.004896708269794097,0.0021098946267771525
bulk,1,4,51,1.515152,0.9840588726773075,0.0023282987724592497,0.0027467816037265416,0.00041848283126729195
bulk,1,4,57,1.575758,0.9840588726773075,0.0028476099419094537,0.004416303415629921,0.0015686934737204673
bulk,1,4,62,1.626263,0.9840588726773075,0.003420295992957985,0.004341428280815666,0.0009211322878576811
bulk,1,4,68,1.686869,0.9840588726773075,0.0024789260615314533,0.0041921039229420205,0.0017131778614105672
bulk,1,4,73,1.737374,0.9840588726773075,0.00231041872949872,0.003633314671592241,0.001322895942093521
bulk,1,4,79,1.79798,0.9840588726773075,0.002271593162471724,0.004047169741288798,0.0017755765788170742
bulk,1,4,84,1.848485,0.9840588726773075,0.00247688700940762,0.004153429917637115,0.0016765429082294947
bulk,1,4,90,1.909091,0.9840588726773075,0.002836576397291739,0.004398758945762828,0.0015621825484710894
bulk,1,4,96,1.969697,0.9840588726773075,0.0025736393913491766,0.003314272606467974,0.0007406332151187974
bulk,1,6,1,1.010101,0.9879118070133253,0.002679350803177902,0.005617055191743943,0.002937704388566041
bulk,1,6,7,1.070707,0.9879118070133253,0.002843867290478011,0.004183185425087902,0.0013393181346098913
bulk,1,6,12,1.121212,0.9879118070133253,0.0025721678382679292,0.003747948594797183,0.0011757807565292537
bulk,1,6,18,1.181818,0.9879118070133253,0.00213325261818794,0.005863676723087785,0.003730424104899845
bulk,1,6,23,1.232323,0.9879118070133253,0.0025113668412648704,0.0059757532281125144,0.003464386386847644
bulk,1,6,29,1.292929,0.9879118070133253,0.00240665128709343,0.0028393362598828644,0.00043268497278943453
bulk,1,6,34,1.343434,0.9879118070133253,0.002683756382620622,0.00448877921625907,0.0018050228336384476
bulk,1,6,40,1.40404,0.9879118070133253,0.0024640235887350855,0.003029320497768009,0.0005652969090329234
bulk,1,6,46,1.464646,0.9879118070133253,0.002656019613972154,0.005008533720166377,0.002352514106194223
bulk,1,6,51,1.515152,0.9879118070133253,0.0020552478477042996,0.0026041423908751337,0.0005488945431708341
bulk,1,6,57,1.575758,0.9879118070133253,0.0027010449794712594,0.00460961454513829,0.0019085695656670307
bulk,1,6,62,1.626263,0.9879118070133253,0.0029442102694689737,0.004506993439644311,0.0015627831701753377
bulk,1,6,68,1.686869,0.9879118070133253,0.0024368059542082664,0.004402498235187189,0.001965692280978922
bulk,1,6,73,1.737374,0.9879118070133253,0.0021025181289067805,0.003720867715794615,0.0016183495868878346
bulk,1,6,79,1.79798,0.9879118070133253,0.002219082246276508,0.004105916370465155,0.0018868341241886472
bulk,1,6,84,1.848485,0.9879118070133253,0.0020847510660422755,0.004127422254038705,0.00204267118799643
bulk,1,6,90,1.909091,0.9879118070133253,0.0027653683334986565,0.004432741100040977,0.0016673727665423204
bulk,1,6,96,1.969697,0.9879118070133253,0.0023373459038509192,0.0036127022015083206,0.0012753562976574014
bulk,1,8,1,1.010101,0.9903963500681038,0.0024408869456951977,0.00559319361942876,0.003152306673733562
bulk,1,8,7,1.070707,0.9903963500681038,0.0025585598319288116,0.004217192903229055,0.0016586330713002431
bulk,1,8,12,1.121212,0.9903963500681038,0.002228328336011433,0.003683572005308348,0.001455243669296915
bulk,1,8,18,1.181818,0.9903963500681038,0.002119435451829385,0.00590753812530808,0.0037881026734786953
bulk,1,8,23,1.232323,0.9903963500681038,0.0023020879472107317,0.006046304991684295,0.0037442170444735635
bulk,1,8,29,1.292929,0.9903963500681038,0.0020874845060491454,0.002876469810756872,0.0007889853047077268
bulk,1,8,34,1.343434,0.9903963500681038,0.002486026440553996,0.004448072839007453,0.0019620463984534567
bulk,1,8,40,1.40404,0.9903963500681038,0.002451614452017143,0.0030584476449717203,0.0006068331929545774
bulk,1,8,46,1.464646,0.9903963500681038,0.002436407910678268,0.004988863972283447,0.002552456061605179
bulk,1,8,51,1.515152,0.9903963500681038,0.0019485946617067576,0.002669555284567135,0.0007209606228603775
bulk,1,8,57,1.575758,0.9903963500681038,0.002438960332522705,0.004495237860291337,0.002056277527768632
bulk,1,8,62,1.626263,0.9903963500681038,0.0026577014543568873,0.0044332978337334175,0.0017755963793765301
bulk,1,8,68,1.686869,0.9903963500681038,0.0019023437203168788,0.004410818700375596,0.0025084749800587166
bulk,1,8,73,1.737374,0.9903963500681038,0.002054485335795048,0.0037176474884525203,0.0016631621526574723
bulk,1,8,79,1.79798,0.9903963500681038,0.001967200194250811,0.004148726798998677,0.0021815266047478664
bulk,1,8,84,1.848485,0.9903963500681038,0.00205485330968359,0.004247613642965435,0.002192760333281845
bulk,1,8,90,1.909091,0.9903963500681038,0.002744755163617212,0.004456546689052708,0.0017117915254354957
bulk,1,8,96,1.969697,0.9903963500681038,0.002224353135444327,0.0036195516521563614,0.0013951985167120345
bulk,1,10,1,1.010101,0.9920426592116235,0.002436646280613003,0.005614626278402497,0.0031779799977894943
bulk,1,10,7,1.070707,0.9920426592116235,0.0024600221641206694,0.004320767380081676,0.0018607452159610065
bulk,1,10,12,1.121212,0.9920426592116235,0.002170726364306123,0.003744456594989348,0.0015737302306832249
bulk,1,10,18,1.181818,0.9920426592116235,0.002103260482252459,0.005924914442761589,0.0038216539605091305
bulk,1,10,23,1.232323,0.9920426592116235,0.0022202707198574344,0.006016670808055045,0.0037964000881976104
bulk,1,10,29,1.292929,0.9920426592116235,0.0020167860462113924,0.002832127921827876,0.0008153418756164836
bulk,1,10,34,1.343434,0.9920426592116235,0.0024106529519948333,0.0044115825243157296,0.0020009295723208962
bulk,1,10,40,1.40404,0.9920426592116235,0.0022348863098664595,0.003224678076431524,0.0009897917665650643
bulk,1,10,46,1.464646,0.9920426592116235,0.0021046123749337104,0.00517119046186483,0.0030665780869311198
bulk,1,10,51,1.515152,0.9920426592116235,0.0019074253703923684,0.0027605192547958957,0.0008530938844035273
bulk,1,10,57,1.575758,0.9920426592116235,0.002434540590475481,0.00449606416618715,0.0020615235757116693
bulk,1,10,62,1.626263,0.9920426592116235,0.0020674900210415617,0.004627227262785218,0.0025597372417436566
bulk,1,10,68,1.686869,0.9920426592116235,0.0018562361752994915,0.004430522376421152,0.0025742862011216604
bulk,1,10,73,1.737374,0.9920426592116235,0.0020476297389881654,0.003828313634877765,0.0017806838958895994
bulk,1,10,79,1.79798,0.9920426592116235,0.0019634757680437966,0.004161393359878304,0.002197917591834507
bulk,1,10,84,1.848485,0.9920426592116235,0.0020223743905186916,0.004238921516811523,0.0022165471262928314
bulk,1,10,90,1.909091,0.9920426592116235,0.0025603679655801523,0.004525778146742861,0.001965410181162709
bulk,1,10,96,1.969697,0.9920426592116235,0.0021693556329888826,0.0036547013483912783,0.0014853457154023956
bulk,1,15,1,1.010101,0.9945443192037455,0.0023921209213601077,0.005638180074187996,0.003246059152827888
bulk,1,15,7,1.070707,0.9945443192037455,0.0020781741884896157,0.004389994722520085,0.002311820534030469
bulk,1,15,12,1.121212,0.9945443192037455,0.0020450492634991892,0.003714703655233561,0.001669654391734372
bulk,1,15,18,1.181818,0.9945443192037455,0.0018036182005961839,0.0058701790294201596,0.004066560828823976
bulk,1,15,23,1.232323,0.9945443192037455,0.0020671316978625354,0.006078084611682108,0.004010952913819572
bulk,1,15,29,1.292929,0.9945443192037455,0.0019597513480945493,0.002864488660637925,0.0009047373125433758
bulk,1,15,34,1.343434,0.9945443192037455,0.002346775126647282,0.004425184656939202,0.0020784095302919204
bulk,1,15,40,1.40404,0.9945443192037455,0.0018996179733671622,0.0031757786907889067,0.0012761607174217445
bulk,1,15,46,1.464646,0.9945443192037455,0.0018671380077411647,0.0052282853694349905,0.003361147361693826
bulk,1,15,51,1.515152,0.9945443192037455,0.0018244141281653363,0.0028297395876711907,0.0010053254595058544
bulk,1,15,57,1.575758,0.9945443192037455,0.0022372694505169385,0.004627444803948846,0.002390175353431908
bulk,1,15,62,1.626263,0.9945443192037455,0.001746213579818924,0.004813447108543841,0.003067233528724917
bulk,1,15,68,1.686869,0.9945443192037455,0.0017189884207391823,0.004441154746057115,0.002722166325317932
bulk,1,15,73,1.737374,0.9945443192037455,0.0018837016003072232,0.00391419660942637,0.0020304950091191466
bulk,1,15,79,1.79798,0.9945443192037455,0.00177261163733229,0.004174584595391897,0.002401972958059607
bulk,1,15,84,1.848485,0.9945443192037455,0.0019880083240119825,0.004279319621499245,0.002291311297487262
bulk,1,15,90,1.909091,0.9945443192037455,0.002191268781560154,0.004540531597356395,0.002349262815796241
bulk,1,15,96,1.969697,0.9945443192037455,0.001965978993452577,0.0036116007172165175,0.0016456217237639406
bulk,1,20,1,1.010101,0.9960156281108246,0.0023023137297362435,0.0056194248505126755,0.003317111120776432
bulk,1,20,7,1.070707,0.9960156281108246,0.0020239492425679203,0.004460948091808198,0.002436998849240278
bulk,1,20,12,1.121212,0.9960156281108246,0.001956536135856523,0.003728848720923622,0.0017723125850670988
