field,fold,rank,original_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error
bulk,2,6,13,1.131313,0.9874467880783331,0.002022651351658973,0.00310687052554209,0.001084219173883117
bulk,2,6,19,1.191919,0.9874467880783331,0.0029103240413345154,0.004797974881000282,0.0018876508396657669
bulk,2,6,24,1.242424,0.9874467880783331,0.0022488858138661493,0.0065461870931743365,0.004297301279308188
bulk,2,6,30,1.30303,0.9874467880783331,0.0022668018145984834,0.004293273952688251,0.002026472138089768
bulk,2,6,36,1.363636,0.9874467880783331,0.0019494285259425835,0.0027463138697181697,0.0007968853437755861
bulk,2,6,41,1.414141,0.9874467880783331,0.002810738663618355,0.003026187812414297,0.00021544914879594208
bulk,2,6,47,1.474747,0.9874467880783331,0.002620982191348427,0.0038468604371281316,0.0012258782457797044
bulk,2,6,52,1.525253,0.9874467880783331,0.0026717774740315572,0.004043805631362996,0.0013720281573314386
bulk,2,6,58,1.585859,0.9874467880783331,0.0024206434697798223,0.00384912291111219,0.0014284794413323676
bulk,2,6,63,1.636364,0.9874467880783331,0.0025702383431542666,0.0031685728983130842,0.0005983345551588176
bulk,2,6,69,1.69697,0.9874467880783331,0.0023690333639879726,0.003977055246326223,0.00160802188233825
bulk,2,6,74,1.747475,0.9874467880783331,0.002031625876119743,0.002543088817417622,0.0005114629412978789
bulk,2,6,80,1.808081,0.9874467880783331,0.0022866316100368647,0.0033518917582034216,0.0010652601481665569
bulk,2,6,86,1.868687,0.9874467880783331,0.00269736565988833,0.0034196575665679466,0.0007222919066796167
bulk,2,6,91,1.919192,0.9874467880783331,0.002613641078024497,0.004546155155198076,0.0019325140771735794
bulk,2,6,97,1.979798,0.9874467880783331,0.0022975384107222466,0.003314864719805311,0.0010173263090830645
bulk,2,8,2,1.020202,0.9900073115863286,0.00220807346696194,0.004537171751109478,0.002329098284147538
bulk,2,8,8,1.080808,0.9900073115863286,0.0019519378842410321,0.003479101639216013,0.001527163754974981
bulk,2,8,13,1.131313,0.9900073115863286,0.0019818000280789646,0.003235967388811961,0.0012541673607329965
bulk,2,8,19,1.191919,0.9900073115863286,0.002798625680024355,0.004786259441594482,0.0019876337615701268
bulk,2,8,24,1.242424,0.9900073115863286,0.0021570972350514056,0.006579171848825424,0.004422074613774018
bulk,2,8,30,1.30303,0.9900073115863286,0.0018749452839341375,0.0045178627623439485,0.0026429174784098107
bulk,2,8,36,1.363636,0.9900073115863286,0.001635005013034247,0.0027407210447254796,0.0011057160316912326
bulk,2,8,41,1.414141,0.9900073115863286,0.00261685589706275,0.0030635076178448773,0.0004466517207821273
