size_ratio,coefficient_1,coefficient_2,coefficient_3,coefficient_4,coefficient_5,coefficient_6
1.353535,-0.20185873993203066,0.5628269146945777,0.018716503977196097,0.11853624023216734,0.01657251090610551,-0.013340435080453314
1.363636,-0.13729174063219685,0.4988744588893064,-0.033554365185151216,0.016469714360570837,-0.02762133789257973,0.006399328643673861
1.373737,0.008563462867883547,0.4458456509661442,0.03556477947961924,0.0065819832137392125,0.03989477072390615,0.04368878304104035
1.383838,0.021452924139865763,0.4726069173775471,-0.06274749646719553,-0.00042686874874996677,-0.02051075936079349,0.035975805311037744
1.393939,0.15709862639974193,0.4727392416512221,-0.05662288755095208,-0.0003693974082985392,0.013760108117059666,-0.050066793877933315
1.40404,0.24327879978216477,0.3877144925512096,-0.012495481179899001,-0.030677917889751462,0.06099464027790138,-0.02453790733482471
1.414141,0.2656912442033131,0.42313396832223243,-0.03382799568248801,0.012699270581806473,0.037582229828620965,-0.03140502704889419
1.424242,0.17654431819744326,0.4529621408053432,0.001287279118046935,0.05498690497401249,0.039743664707339636,0.0315642288494599
1.434343,0.422923633495369,0.45112011854813583,-0.04292708427709973,0.10144617019105959,-0.04299395741107174,-0.025587601256209756
1.444444,0.5394221284552688,0.3398133301510204,-0.029803424586583065,-0.0014056058855815225,0.04774153107339846,0.02351012024996055
1.454545,0.555541926307649,0.3693867964072899,-0.07336491738782516,0.01975912705406692,0.0028546370012362534,-0.006852251236000167
1.464646,0.5688507511396615,0.3701761180815864,-0.013762536534027826,0.0831877170368105,0.039163123498469676,0.06048900769850745
1.474747,0.7851806284315648,0.359657824723391,-0.11736097219543794,0.05020539922500896,0.004001030626971703,-0.01464589477466303
1.484848,0.8254608286843003,0.25301714882111676,-0.09307479372372285,0.045389787185905306,0.04310804457271358,-0.003949131651045399
1.494949,0.8981021977340754,0.2849773279367886,-0.1013390960605267,0.015799632116551113,0.014372175916199484,-0.04385577607264298
1.505051,0.7769128407690836,0.27132618121838503,-0.054175996831812005,-0.007495745342159704,-0.019064758900284827,0.06355223831724374
1.515152,0.915465024304073,0.2928108836286677,-0.1061010132332843,-0.00291376609461204,0.0007324906721489025,0.018999045657446374
1.525253,0.8960918603308247,0.2764582765279027,-0.06729317663187923,-0.014954835682069458,0.012321938892957318,-0.01810576231049955
1.535354,0.9941363908247399,0.21365224462493157,-0.09050685172525119,-0.011681632182194902,0.028015029716054168,0.0022114388440367017
1.545455,1.0224046578452188,0.20335686682361268,-0.024422840493026572,0.050801584281527326,0.06414214737799798,-0.022524952372863664
1.555556,1.1372942604201253,0.23678048793978002,-0.14230664912903435,-0.04591066320500572,0.015090982984187332,-0.009307221359631579
1.565657,1.03138073020052,0.26698776566403515,-0.07672481579486506,0.0855239653225848,-0.010426186575472958,-0.021434414582438766
1.575758,1.220446844385104,0.13814662725939927,-0.08305572292572208,-0.04985428056341448,0.013121480444886272,-0.013904623537747266
1.585859,1.2359179168751646,0.11273039501594671,-0.07283385395336993,-0.021655653436517562,0.014959623597700216,0.013449608987557194
1.59596,1.3170570978209828,0.11980886309195371,-0.142433336914567,-0.027022992525956618,-0.005317674827560176,0.03454504945497824
1.606061,1.32614029938778,0.1073188925843365,-0.11348975622215926,0.037371602299948944,-0.0482981698960864,0.024376597121729175
1.616162,1.4427833779598298,0.03597853395271487,-0.08410869926235914,-0.05145228642436738,0.02247937861972629,0.01837309199955346
1.626263,1.3821133877333833,0.0771278330597981,-0.10761956958558995,-0.02440723892111819,-0.040216721923286056,-0.03507559841188377
1.636364,1.4678320770421174,0.04322917735855961,-0.0980399776530928,0.012381517310220946,-0.013841259737257947,-0.018671972691945826
