fold,rank,training_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error
1,15,31,1.313131,0.9996720779832149,0.004615594232927859,0.013040832766914753,0.008425238533986894
1,15,36,1.363636,0.9996720779832149,0.0032469490449028265,0.0075104970119994055,0.004263547967096579
1,15,41,1.414141,0.9996720779832149,0.0037684676341364393,0.007121768789659782,0.0033533011555233424
1,15,46,1.464646,0.9996720779832149,0.0037837981120713493,0.008991082472677128,0.005207284360605778
1,15,51,1.515152,0.9996720779832149,0.002731478905452568,0.0060331546304229575,0.0033016757249703897
1,15,56,1.565657,0.9996720779832149,0.003691920731866752,0.01550948378066149,0.011817563048794737
1,15,61,1.616162,0.9996720779832149,0.0031340035772627005,0.006389725891393922,0.0032557223141312214
1,15,66,1.666667,0.9996720779832149,0.0031882702007982803,0.010382760762383514,0.007194490561585233
1,15,71,1.717172,0.9996720779832149,0.0028815206257193997,0.011797290709548436,0.008915770083829036
1,15,76,1.767677,0.9996720779832149,0.0028505177683236893,0.010983394862154093,0.008132877093830404
1,15,81,1.818182,0.9996720779832149,0.0028123055239248637,0.005524920555990993,0.002712615032066129
1,15,86,1.868687,0.9996720779832149,0.003038735628728255,0.006655866346013435,0.0036171307172851797
1,15,91,1.919192,0.9996720779832149,0.003114476831890961,0.010724226229615951,0.00760974939772499
1,15,96,1.969697,0.9996720779832149,0.002535195113427806,0.010910841573710866,0.00837564646028306
1,20,1,1.010101,0.999766685996463,0.005811043292492395,0.016527349749001004,0.010716306456508609
1,20,6,1.060606,0.999766685996463,0.004842665071375402,0.01539612644302316,0.010553461371647758
1,20,11,1.111111,0.999766685996463,0.0041966549870344335,0.013931988788592703,0.00973533380155827
1,20,16,1.161616,0.999766685996463,0.004021612007537826,0.015425613632140471,0.011404001624602644
1,20,21,1.212121,0.999766685996463,0.004200100195993893,0.024938974883009394,0.0207388746870155
1,20,26,1.262626,0.999766685996463,0.0035886052715599632,0.009469322012314006,0.0058807167407540425
1,20,31,1.313131,0.999766685996463,0.00377819587585511,0.011045596863504722,0.007267400987649612
1,20,36,1.363636,0.999766685996463,0.0028068243918785863,0.009195496939875999,0.006388672547997413
1,20,41,1.414141,0.999766685996463,0.0032536180726116465,0.008642160076927146,0.0053885420043155
1,20,46,1.464646,0.999766685996463,0.0036375719324506033,0.010050672840053718,0.006413100907603114
1,20,51,1.515152,0.999766685996463,0.002629002397761972,0.006184047017319743,0.003555044619557771
1,20,56,1.565657,0.999766685996463,0.003283878056518951,0.014933205601711054,0.011649327545192103
1,20,61,1.616162,0.999766685996463,0.0029456659747081064,0.006618735247814794,0.003673069273106687
1,20,66,1.666667,0.999766685996463,0.002989108557183171,0.00848037538799499,0.005491266830811819
1,20,71,1.717172,0.999766685996463,0.0027528892867385163,0.008622146151668125,0.005869256864929609
1,20,76,1.767677,0.999766685996463,0.002563225901408631,0.010095521354858422,0.007532295453449791
1,20,81,1.818182,0.999766685996463,0.002598890013003231,0.006968173681867878,0.0043692836688646475
1,20,86,1.868687,0.999766685996463,0.002371062176762621,0.005401979726317126,0.0030309175495545045
1,20,91,1.919192,0.999766685996463,0.0029561425316015763,0.007965594486676773,0.005009451955075197
1,20,96,1.969697,0.999766685996463,0.0023447089066389606,0.007580351024758223,0.005235642118119263
2,1,2,1.020202,0.9647325981770498,0.07228545735273532,0.07228780617461922,2.348821883893515e-06
2,1,7,1.070707,0.9647325981770498,0.041410374359143284,0.041506598830868754,9.62244717254701e-05
2,1,12,1.121212,0.9647325981770498,0.01548351642874197,0.01824466459965193,0.0027611481709099595
2,1,17,1.171717,0.9647325981770498,0.022588194928401778,0.023065002060630557,0.00047680713222877924
2,1,22,1.222222,0.9647325981770498,0.03742104682673676,0.03847381811484211,0.001052771288105346
2,1,27,1.272727,0.9647325981770498,0.03942738861294749,0.03957657149060206,0.00014918287765456478
2,1,32,1.323232,0.9647325981770498,0.03719290970211751,0.03817680550208558,0.0009838957999680695
2,1,37,1.373737,0.9647325981770498,0.03250145846285462,0.03299538997798084,0.0004939315151262225
2,1,42,1.424242,0.9647325981770498,0.03317922060482296,0.035329868525992875,0.0021506479211699167
2,1,47,1.474747,0.9647325981770498,0.02694087827136913,0.0276133218595063,0.0006724435881371692
2,1,52,1.525253,0.9647325981770498,0.020755300981708975,0.021691405224360718,0.0009361042426517426
2,1,57,1.575758,0.9647325981770498,0.012229720312045668,0.01223851146772675,8.791155681081922e-06
2,1,62,1.626263,0.9647325981770498,0.010787040194382045,0.011203374316328908,0.00041633412194686317
2,1,67,1.676768,0.9647325981770498,0.009826043364115635,0.01011369128630395,0.00028764792218831554
2,1,72,1.727273,0.9647325981770498,0.012225377039424851,0.012247025409431716,2.1648370006864537e-05
