field,fold,rank,original_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error,random_state
bulk,1,6,29,1.292929,0.9879118070133253,0.00240665128709343,0.0030058026325764492,0.0005991513454830194,1106
bulk,1,6,34,1.343434,0.9879118070133253,0.002683756382620622,0.005621493166621626,0.002937736784001004,1106
bulk,1,6,40,1.40404,0.9879118070133253,0.0024640235887350855,0.004313983796848155,0.0018499602081130692,1106
bulk,1,6,46,1.464646,0.9879118070133253,0.002656019613972154,0.004901078860675042,0.0022450592467028884,1106
bulk,1,6,51,1.515152,0.9879118070133253,0.0020552478477042996,0.002853727569107783,0.0007984797214034833,1106
bulk,1,6,57,1.575758,0.9879118070133253,0.0027010449794712594,0.004591562764942296,0.0018905177854710363,1106
bulk,1,6,62,1.626263,0.9879118070133253,0.0029442102694689737,0.005088197951125937,0.002143987681656963,1106
bulk,1,6,68,1.686869,0.9879118070133253,0.0024368059542082664,0.003965379510721981,0.0015285735565137145,1106
bulk,1,6,73,1.737374,0.9879118070133253,0.0021025181289067805,0.003161395211917988,0.0010588770830112075,1106
bulk,1,6,79,1.79798,0.9879118070133253,0.002219082246276508,0.0036430018382279748,0.0014239195919514666,1106
bulk,1,6,84,1.848485,0.9879118070133253,0.0020847510660422755,0.0038941627563622095,0.001809411690319934,1106
bulk,1,6,90,1.909091,0.9879118070133253,0.0027653683334986565,0.0033743032730788837,0.0006089349395802272,1106
bulk,1,6,96,1.969697,0.9879118070133253,0.0023373459038509192,0.004366822763698375,0.0020294768598474555,1106
bulk,1,8,1,1.010101,0.9903963500681038,0.0024408869456951977,0.005802202615331463,0.0033613156696362654,1108
bulk,1,8,7,1.070707,0.9903963500681038,0.0025585598319288116,0.004530226961274745,0.001971667129345933,1108
bulk,1,8,12,1.121212,0.9903963500681038,0.002228328336011433,0.003448462741412078,0.0012201344054006448,1108
bulk,1,8,18,1.181818,0.9903963500681038,0.002119435451829385,0.003517716676725559,0.001398281224896174,1108
bulk,1,8,23,1.232323,0.9903963500681038,0.0023020879472107317,0.004755975215901528,0.0024538872686907967,1108
bulk,1,8,29,1.292929,0.9903963500681038,0.0020874845060491454,0.0031294094832276975,0.0010419249771785521,1108
bulk,1,8,34,1.343434,0.9903963500681038,0.002486026440553996,0.005012610485201198,0.0025265840446472014,1108
bulk,1,8,40,1.40404,0.9903963500681038,0.002451614452017143,0.004659296393302277,0.0022076819412851344,1108
bulk,1,8,46,1.464646,0.9903963500681038,0.002436407910678268,0.004846035865321082,0.0024096279546428146,1108
bulk,1,8,51,1.515152,0.9903963500681038,0.0019485946617067576,0.0026764664539378176,0.00072787179223106,1108
bulk,1,8,57,1.575758,0.9903963500681038,0.002438960332522705,0.004259430257273733,0.0018204699247510283,1108
bulk,1,8,62,1.626263,0.9903963500681038,0.0026577014543568873,0.004939604605393295,0.0022819031510364074,1108
bulk,1,8,68,1.686869,0.9903963500681038,0.0019023437203168788,0.004084164881761372,0.0021818211614444928,1108
bulk,1,8,73,1.737374,0.9903963500681038,0.002054485335795048,0.003346882585107338,0.0012923972493122898,1108
bulk,1,8,79,1.79798,0.9903963500681038,0.001967200194250811,0.003368976642970955,0.0014017764487201444,1108
bulk,1,8,84,1.848485,0.9903963500681038,0.00205485330968359,0.0036744069932885272,0.0016195536836049371,1108
bulk,1,8,90,1.909091,0.9903963500681038,0.002744755163617212,0.0034351202432910495,0.0006903650796738375,1108
bulk,1,8,96,1.969697,0.9903963500681038,0.002224353135444327,0.004044270337592548,0.0018199172021482208,1108
bulk,1,10,1,1.010101,0.9920426592116235,0.002436646280613003,0.005670399635722936,0.0032337533551099326,1110
bulk,1,10,7,1.070707,0.9920426592116235,0.0024600221641206694,0.004456973220206647,0.0019969510560859773,1110
bulk,1,10,12,1.121212,0.9920426592116235,0.002170726364306123,0.0034945167284505104,0.0013237903641443874,1110
bulk,1,10,18,1.181818,0.9920426592116235,0.002103260482252459,0.003451103047207649,0.00134784256495519,1110
bulk,1,10,23,1.232323,0.9920426592116235,0.0022202707198574344,0.004729972286018954,0.0025097015661615196,1110
bulk,1,10,29,1.292929,0.9920426592116235,0.0020167860462113924,0.003104849099134367,0.0010880630529229748,1110
bulk,1,10,34,1.343434,0.9920426592116235,0.0024106529519948333,0.005409960050708871,0.002999307098714038,1110
bulk,1,10,40,1.40404,0.9920426592116235,0.0022348863098664595,0.004370270692661548,0.0021353843827950883,1110
bulk,1,10,46,1.464646,0.9920426592116235,0.0021046123749337104,0.004910397770600575,0.0028057853956668646,1110
bulk,1,10,51,1.515152,0.9920426592116235,0.0019074253703923684,0.002724050338461951,0.0008166249680695828,1110
bulk,1,10,57,1.575758,0.9920426592116235,0.002434540590475481,0.0044225102496997706,0.0019879696592242898,1110
bulk,1,10,62,1.626263,0.9920426592116235,0.0020674900210415617,0.005023314820809125,0.002955824799767563,1110
bulk,1,10,68,1.686869,0.9920426592116235,0.0018562361752994915,0.003973874616545278,0.0021176384412457862,1110
bulk,1,10,73,1.737374,0.9920426592116235,0.0020476297389881654,0.003389526406673804,0.0013418966676856385,1110
bulk,1,10,79,1.79798,0.9920426592116235,0.0019634757680437966,0.003340091144870287,0.0013766153768264905,1110
bulk,1,10,84,1.848485,0.9920426592116235,0.0020223743905186916,0.0036029350732271585,0.001580560682708467,1110
bulk,1,10,90,1.909091,0.9920426592116235,0.0025603679655801523,0.003415060114340076,0.0008546921487599239,1110
bulk,1,10,96,1.969697,0.9920426592116235,0.0021693556329888826,0.003658773048656597,0.0014894174156677145,1110
bulk,1,15,1,1.010101,0.9945443192037455,0.0023921209213601077,0.005659422707575413,0.0032673017862153053,1115
bulk,1,15,7,1.070707,0.9945443192037455,0.0020781741884896157,0.004111077502690375,0.002032903314200759,1115
bulk,1,15,12,1.121212,0.9945443192037455,0.0020450492634991892,0.003521890637442439,0.0014768413739432496,1115
bulk,1,15,18,1.181818,0.9945443192037455,0.0018036182005961839,0.0036586467984942883,0.0018550285978981044,1115
bulk,1,15,23,1.232323,0.9945443192037455,0.0020671316978625354,0.0052223301924923015,0.003155198494629766,1115
bulk,1,15,29,1.292929,0.9945443192037455,0.0019597513480945493,0.0032756896422119516,0.0013159382941174023,1115
bulk,1,15,34,1.343434,0.9945443192037455,0.002346775126647282,0.005254409309057323,0.002907634182410041,1115
bulk,1,15,40,1.40404,0.9945443192037455,0.0018996179733671622,0.0045755183331337565,0.0026759003597665943,1115
bulk,1,15,46,1.464646,0.9945443192037455,0.0018671380077411647,0.004939290704295097,0.0030721526965539325,1115
bulk,1,15,51,1.515152,0.9945443192037455,0.0018244141281653363,0.0026627184730810913,0.000838304344915755,1115
bulk,1,15,57,1.575758,0.9945443192037455,0.0022372694505169385,0.004318368603625643,0.0020810991531087044,1115
bulk,1,15,62,1.626263,0.9945443192037455,0.001746213579818924,0.005097838504378249,0.003351624924559325,1115
bulk,1,15,68,1.686869,0.9945443192037455,0.0017189884207391823,0.0040671751481495075,0.002348186727410325,1115
bulk,1,15,73,1.737374,0.9945443192037455,0.0018837016003072232,0.0034403387559958695,0.0015566371556886463,1115
bulk,1,15,79,1.79798,0.9945443192037455,0.00177261163733229,0.003357563662525618,0.0015849520251933283,1115
bulk,1,15,84,1.848485,0.9945443192037455,0.0019880083240119825,0.00371171607091321,0.0017237077469012276,1115
bulk,1,15,90,1.909091,0.9945443192037455,0.002191268781560154,0.0034279952499139616,0.0012367264683538076,1115
