size_ratio,simulation_number,bulk_mean_phi,small_mean_phi,bulk_integrated_volume,small_integrated_volume,difference_integrated_volume,inferred_large_integrated_volume,bulk_to_small_integral_ratio,minimum_bulk_minus_small,maximum_bulk_minus_small,mean_absolute_bulk_small_difference,fraction_bulk_below_small,active_region_correlation,bulk_nonzero_fraction,small_nonzero_fraction
1.161616,17,0.1298354247905108,0.06491522069088806,565.563110387465,282.7707013295084,282.7924090579567,282.7924090579567,2.0000767679549054,0.0,0.350063,0.06492020409962274,0.0,0.917638846728903,0.4161,0.4155
1.171717,18,0.12982188529711416,0.06491263956838846,565.5041323542293,282.75945795990015,282.74467439432925,282.74467439432925,1.9999477168131612,0.0,0.35705699999999996,0.06490924572872572,0.0,0.9095067052486874,0.4264,0.4261
1.181818,19,0.1298299879750121,0.06491055304822578,565.5394276191528,282.7503690780715,282.7890585410813,282.7890585410813,2.0001368325818136,0.0,0.360275,0.06491943492678634,0.0,0.9011228561147744,0.4179,0.4154
1.191919,20,0.12983073511126028,0.06491136550147487,565.5426821446499,282.7539081244246,282.78877402022533,282.78877402022533,2.00012330827196,0.0,0.366321,0.06491936960978544,0.0,0.8936064986344244,0.4187,0.4164
1.20202,21,0.12982589754469626,0.06491355857488282,565.521609704697,282.76346115218956,282.75814855250735,282.75814855250735,1.999981211859338,0.0,0.36190799999999995,0.06491233896981344,0.0,0.8920256412175178,0.4229,0.4226
1.212121,22,0.12982199882135245,0.06491057207025283,565.5046268658114,282.75045193802134,282.7541749277901,282.7541749277901,2.0000131670515224,0.0,0.365857,0.06491142675109965,0.0,0.8928688540334326,0.4272,0.4263
1.222222,23,0.1298239632265916,0.06491232587767495,565.513183815033,282.7580915231521,282.755092291881,282.755092291881,1.9999893929427273,0.0,0.3730359999999999,0.06491163734891665,0.0,0.8708326844715337,0.4185,0.4185
1.232323,24,0.12982684153250515,0.06490944997739637,565.5257217155926,282.7455641015386,282.7801576140539,282.7801576140539,2.00012234855965,0.0,0.37542800000000004,0.0649173915551088,0.0,0.8767413024650417,0.4211,0.4185
1.242424,25,0.12982886148790418,0.0649166819741906,565.5345206413106,282.77706667957426,282.75745396173636,282.75745396173636,1.9999306424737047,0.0,0.381768,0.06491217951371359,0.0,0.8662287641991923,0.4295,0.4282
1.252525,26,0.1298319512868258,0.06491196909579117,565.5479798054131,282.75653738126636,282.79144242414685,282.79144242414685,2.0001234455733674,0.0,0.38277700000000003,0.06491998219103462,0.0,0.8651396395368508,0.433,0.4325
1.262626,27,0.12983074882145776,0.06491642440555112,565.54274186627,282.7759447105807,282.7667971556893,282.7667971556893,1.9999676508732003,0.0,0.38919399999999993,0.06491432441590662,0.0,0.8486554663326051,0.4249,0.4227
1.272727,28,0.1298378160707349,0.06491585419132263,565.5735268041213,282.77346085740146,282.8000659467199,282.8000659467199,2.000094086231564,0.0,0.387783,0.06492196187941227,0.0,0.8494557756526335,0.4176,0.4168
1.282828,29,0.1298311849162648,0.06490941546935812,565.5446414952495,282.74541378452403,282.79922771072563,282.79922771072563,2.000190326433526,0.0,0.391097,0.06492176944690671,0.0,0.8473328087427542,0.425,0.4245
1.292929,30,0.12983036685538385,0.06491062277614248,565.541078022052,282.7506728128767,282.7904052091752,282.7904052091752,2.0001405209611116,0.0,0.39378199999999997,0.06491974407924132,0.0,0.8386445423576467,0.427,0.4258
1.30303,31,0.12982632323449092,0.06490991876505624,565.5234640094426,282.747606140585,282.7758578688576,282.7758578688576,2.000099918540985,0.0,0.399417,0.0649164044694347,0.0,0.8289113408693124,0.4237,0.4197
1.313131,32,0.12982803159987927,0.06491258043967613,565.5309056490742,282.75920039522924,282.77170525384497,282.77170525384497,2.000044224409314,0.0,0.40176999999999996,0.06491545116020316,0.0,0.8259066679531104,0.4201,0.4193
1.323232,33,0.12982765156785264,0.06491109222408213,565.5292502295662,282.7527177281018,282.77653250146443,282.77653250146443,2.0000842247372685,0.0,0.40782700000000005,0.06491655934377052,0.0,0.82103359013288,0.4246,0.4246
1.333333,34,0.12982615214896542,0.0649149610663341,565.5227187608934,282.76957040495137,282.75314835594213,282.75314835594213,1.999941924270756,0.0,0.40115100000000004,0.06491119108263133,0.0,0.8234982306596432,0.4199,0.4195
1.343434,35,0.1298293550557824,0.06491341664940098,565.5366706229883,282.76284292479073,282.7738276981976,282.7738276981976,2.0000388480087876,0.0,0.40513699999999997,0.06491593840638143,0.0,0.819344438893118,0.4239,0.4211
1.353535,36,0.129834661610263,0.06491422658445781,565.5597859743057,282.7663710018983,282.7934149724075,282.7934149724075,2.00009564068886,0.0,0.41117900000000007,0.0649204350258052,0.0,0.8100472472426936,0.4243,0.4225
1.363636,37,0.12983374275676432,0.06491109869225473,565.5557834484654,282.7527459034616,282.8030375450039,282.8030375450039,2.000177864378935,0.0,0.413706,0.06492264406450962,0.0,0.8130897205764998,0.4342,0.4339
