field,seed,rank,mean_validation_error,median_validation_error,maximum_validation_error,standard_deviation_error
small,71,3,0.00918839978965822,0.008147126681043683,0.017689633736185126,0.0033636332338805894
small,71,4,0.009387072252014253,0.008442873297682098,0.020738145698594918,0.003728212438286796
small,71,6,0.009020106513192704,0.008623335245118612,0.018994254196511347,0.0032387195340235343
small,71,8,0.00987528196234706,0.009118111537016839,0.022283023468721574,0.003751498849054633
small,71,10,0.00993178129675146,0.008617871021376247,0.020528712722061068,0.003936735554640957
large,11,3,0.010197957949672693,0.00934143715605055,0.01963711262705669,0.0033839072620027266
large,11,4,0.010240606392425078,0.00984637700416868,0.019567530218994194,0.0031959212909039754
large,11,6,0.010178189093463257,0.009596970577239834,0.019518232135923696,0.0031510189639601597
large,11,8,0.010407560764062072,0.00963167877748232,0.023395990986830244,0.003369235843588226
large,11,10,0.01055256115225431,0.00975363095278291,0.022844782628261482,0.0036261794737027482
large,23,3,0.010134294305156034,0.009631224211031172,0.019724610720895742,0.0031547915412464458
large,23,4,0.010219573403517425,0.009359254844098407,0.021836132337018695,0.0034900782399077115
large,23,6,0.010261213995784361,0.009552346968682023,0.0228566703593374,0.0032626022835079527
large,23,8,0.010461028460949364,0.009758048855128442,0.020015731534674928,0.003053105153637152
large,23,10,0.01020162621490099,0.009535777716870576,0.02070591051889993,0.0032449751638870456
large,37,3,0.010231759060697425,0.009553847878204492,0.020664297068001505,0.0033539297620774713
large,37,4,0.010344708231888407,0.009815762514893127,0.02078183615792942,0.003448344649652061
large,37,6,0.010236437204360176,0.009574106301988525,0.01976702465348683,0.0031414680828433027
large,37,8,0.010259139056757736,0.009496127266417098,0.02204033383252622,0.0034597286864041523
large,37,10,0.010311966609082417,0.009654069789656808,0.022050134302126594,0.0031990454646204634
large,53,3,0.010209158282884667,0.00949633213368532,0.02100496269263037,0.003291001801121268
large,53,4,0.010343304639218466,0.009693225290725319,0.023171075622033122,0.003573738791069163
large,53,6,0.010296377928073992,0.009445183964517366,0.020682317360719165,0.0033194760569291598
large,53,8,0.010420520256514854,0.00933583327072177,0.022952683183819496,0.0035376192906322297
large,53,10,0.010292732221482961,0.009501228214824887,0.024099544305668102,0.0035144653307614057
large,71,3,0.01025198410653755,0.009674852380801499,0.021586340458269505,0.0032366399812956137
large,71,4,0.010185278455292544,0.009334293405466347,0.01931346671386384,0.0033265904806003394
large,71,6,0.010458454681854945,0.0098852909041681,0.021098511928254716,0.003134000068135513
large,71,8,0.01045793440822065,0.009507169615534283,0.02070457699652809,0.0034562960914725784
large,71,10,0.010259285647575502,0.009507035426761687,0.024522159931304986,0.0034217123557973824
