case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,route,rank,spacetime_relative_l2_error_percent,mean_snapshot_l2_error_percent,median_snapshot_l2_error_percent,p95_snapshot_l2_error_percent,maximum_snapshot_l2_error_percent,mean_spatial_correlation,minimum_spatial_correlation,time_averaged_l2_error_percent,mean_absolute_integral_error_percent,maximum_volume_fraction,minimum_volume_fraction,grid_time_fraction_phi_gt_one_percent,grid_time_fraction_phi_lt_tolerance_percent
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle XZ POD then CG,27,129.663312506333,116.8330408599222,93.80792687709948,213.09516118681864,219.5322001194556,0.749890819103876,0.5403243915840881,99.31761555684922,0.2734306207715616,5.319633094030585,0.0,1.3826262626262626,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle XZ POD then CG,100,123.80009418664726,110.67507692999855,88.58190997180714,204.87647030035643,210.33041344200169,0.763449762162665,0.5548955135341671,95.45870123707536,0.2933328155433549,5.06582952393857,0.0,1.3349494949494949,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle XZ POD then CG,0,486.5747388844376,486.57738586958175,486.6832935509539,487.8259194229884,488.6886719475661,0.2857632251558413,0.280734766667891,487.8260449599905,3.382498471352364e-05,15.899682551993331,0.0,1.01,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle XZ POD then CG,8,148.2118596680249,135.64213743997271,110.49595261359708,222.48530450717695,226.1835674483778,0.703332479792013,0.5252841478109765,117.50413078118956,0.1956987966921864,4.891542648266523,-1.8011657573843704e-18,1.7662626262626262,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle XZ POD then CG,14,143.166333964178,129.9638065308897,103.43823939903729,222.74499993699112,226.78138904658883,0.7146194360645064,0.518318198883931,110.7474970864512,0.2155011851512279,5.5364575962141735,0.0,1.6512121212121211,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle XZ POD then CG,27,140.55294466172447,126.34677256035744,95.06527425520156,220.90289053567471,221.88766460464456,0.7230775757926459,0.5270232737619891,108.39509211263632,0.209738228938863,5.465109351617984,0.0,1.5874747474747477,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle XZ POD then CG,100,133.90440068102603,119.4475243278711,90.72260736405016,213.8964410297465,215.7590477419259,0.7385433143911396,0.5325689747550004,104.18104689189548,0.2209034323328665,5.188028749469356,0.0,1.5466666666666666,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle XZ POD then CG,0,483.9510111394502,483.9523704475277,483.9562017370557,485.105374030318,485.88856512388566,0.2784848104975276,0.2752995085674781,484.8956333910481,2.067133751708871e-05,16.015546120578957,0.0,0.98,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle XZ POD then CG,8,158.58034476983337,144.60148996328647,129.8229813431138,239.2716822154611,249.01998940771165,0.6810027070769403,0.4832863425779449,123.6546112461438,0.1534772550831541,6.522525465678945,0.0,1.8432323232323236,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle XZ POD then CG,14,150.77494192887588,135.8131112634362,117.67333956410104,235.86423464785972,240.4053988703084,0.7001464793745658,0.4898042669342713,116.04362378559745,0.1756523834960801,6.286174462725235,0.0,1.7085858585858589,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle XZ POD then CG,27,147.50194208843672,131.98228381990845,105.26983244073784,234.43274395975232,235.97802600325505,0.7078127400304031,0.4960296700498939,112.60102012072264,0.1841531450171885,6.3158094930494215,-1.1481673403101648e-18,1.6741414141414142,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle XZ POD then CG,100,140.3589388034058,124.59202080888096,95.25278888156002,227.67451965774623,230.7958615962572,0.7245061823777532,0.5028734312139479,108.15076677043416,0.1808511807950301,5.827266874678295,0.0,1.63,0.0
