case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,route,rank,spacetime_relative_l2_error_percent,mean_snapshot_l2_error_percent,median_snapshot_l2_error_percent,p95_snapshot_l2_error_percent,maximum_snapshot_l2_error_percent,mean_spatial_correlation,minimum_spatial_correlation,time_averaged_l2_error_percent,mean_absolute_integral_error_percent,maximum_volume_fraction,minimum_volume_fraction,grid_time_fraction_phi_gt_one_percent,grid_time_fraction_phi_lt_tolerance_percent,average_field_consistency_percent
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,CG then POD,27,8.498653996312548,8.49147286878314,8.561934865674182,8.990630123403568,9.180939320050056,0.9953032563612304,0.9945166300620932,1.49824593598878,2.8426002728068587e-05,0.5022442581268194,-0.0014451372888967,0.0,0.2658585858585858,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle POD then CG,27,109.51926726001916,100.70390466985664,78.4767321850993,172.00844488441558,179.47982764294554,0.7748406132834147,0.6104012097049649,83.58499532080467,0.327578727701728,4.155232196095694,0.0,1.0291919191919192,0.0,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,CG then POD,100,7.516578076007994,7.509311627288083,7.526795876249961,8.016797436177091,8.208033160774207,0.9963301105099786,0.9956182988111812,1.450050622354342,3.5453421118233384e-05,0.5152188287169042,-0.0065045271480253,0.0,1.0343434343434343,0.0
ratio_1_252525_num_26,1.252525,26,11626,7701,101,99,Particle POD then CG,100,105.70973145777396,96.18028664414264,76.60795811529353,167.44849057891045,175.69812599181554,0.786748605621882,0.6167548032991086,81.62641410942125,0.3290654812869784,3.8699606934870254,0.0,0.9761616161616162,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,CG then POD,0,7.530082718370724,7.519498516645859,7.501598299852007,8.117644108280691,8.342897110926831,0.9964552622585672,0.995650166519352,1.3962119869096634,2.862930633511121e-05,0.5255700846471953,0.0,0.0,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle POD then CG,0,495.2027821688011,495.2050415146145,495.1658021486711,496.77549603345136,497.2515450032327,0.2974586295475707,0.2888959919583211,496.5088776226956,3.447438577448052e-05,15.796482537722712,0.0,1.04,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,CG then POD,8,7.085102495239932,7.076911933161372,7.081962256845581,7.601014190970961,7.96423613495184,0.9968625086825232,0.9960389744596212,1.347372600970915,2.849085979123354e-05,0.533052550070207,-0.0002360769003952,0.0,0.0078787878787878,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle POD then CG,8,135.74413391083698,124.57878963941498,90.93211338511432,206.39031339442155,212.8193680879945,0.7336940287233985,0.5549959138895204,108.57672143361984,0.2246626528896288,4.91130489679157,0.0,1.551212121212121,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,CG then POD,14,6.907495443020757,6.900201121825875,6.913703522135307,7.298194852763372,7.636939595180354,0.9970184687157116,0.996353788207226,1.3213709793945645,2.84977217886872e-05,0.532990036315426,-0.0004977160968388,0.0,0.0212121212121212,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle POD then CG,14,133.45746710592633,121.89991981909678,94.26929576334284,212.4535076046681,219.5418577611362,0.7382120814000188,0.5391357398059914,103.65935028828896,0.2491841792123985,5.462904525893721,0.0,1.458989898989899,0.0,0.0
