route,rank,spacetime_relative_l2_error_percent,mean_snapshot_l2_error_percent,median_snapshot_l2_error_percent,p95_snapshot_l2_error_percent,maximum_snapshot_l2_error_percent,mean_spatial_correlation,minimum_spatial_correlation,time_averaged_l2_error_percent,mean_absolute_integral_error_percent,maximum_volume_fraction,minimum_volume_fraction,grid_time_fraction_phi_gt_one_percent,grid_time_fraction_phi_lt_tolerance_percent,average_field_consistency_percent,case_id,size_ratio,grid_size,cutoff,evaluation_role,runtime_seconds
CG then POD,27,10.139776276526561,10.13551414372165,10.11534406495648,10.636992369504334,11.02656745708458,0.9929833880969757,0.9916905085299241,1.6715844198069332,1.6421784682696235e-05,0.34213335997903915,-0.0038291383892701206,0.0,0.19406868686868686,0.0,ratio_1_000000_num_1,1.0,125,3.0,training_case_diagnostic,23.77661834399987
Particle POD then CG,27,98.59193006564773,92.72871921211893,78.85240465847981,142.18678002902132,144.86881651436653,0.7131761792457977,0.562620776095003,77.9449256624035,0.3423541826812933,2.2825593698159525,0.0,0.5499474747474747,0.0,0.0,ratio_1_000000_num_1,1.0,125,3.0,training_case_diagnostic,23.77661834399987
CG then POD,100,9.042434038661602,9.03690448877435,9.023402533761622,9.486827849809892,9.963778574958264,0.9944242118838011,0.9932219922061221,1.5915955153772479,1.9716145271607846e-05,0.3463350067985733,-0.011922033624748467,0.0,0.9552808080808081,0.0,ratio_1_000000_num_1,1.0,125,3.0,training_case_diagnostic,23.77661834399987
Particle POD then CG,100,94.76114346391141,88.4314497071031,73.55383453254983,137.62485743636756,140.02344437381583,0.7279738136895835,0.5745995190166961,75.22209776223187,0.33175181088722544,2.219778345101886,0.0,0.4990060606060606,0.0,0.0,ratio_1_000000_num_1,1.0,125,3.0,training_case_diagnostic,23.77661834399987
CG then POD,27,7.389207930986834,7.382069098867679,7.391491929480053,7.985948205157211,8.23024653265885,0.9962473528661486,0.9953413557072589,1.2927424482643037,6.049542389687411e-06,0.32696142422227376,-0.0016136197340083274,0.0,0.14112323232323232,0.0,ratio_1_000000_num_1,1.0,125,4.0,training_case_diagnostic,38.15514239999902
Particle POD then CG,27,94.25111356408715,88.23891537000824,72.9921977667766,136.33019583314498,138.3364076613386,0.7367385538366173,0.5864475057346148,75.95844837504083,0.364823224571227,2.005606976058706,0.0,0.5148444444444444,0.0,0.0,ratio_1_000000_num_1,1.0,125,4.0,training_case_diagnostic,38.15514239999902
CG then POD,100,6.138586528688173,6.128174223001709,6.104409089487718,6.686071255275087,6.818978862455386,0.9974123789375681,0.9968048322881319,1.1674306681028188,9.42878659283908e-06,0.32777135686560327,-0.01187419769396857,0.0,1.1533575757575758,0.0,ratio_1_000000_num_1,1.0,125,4.0,training_case_diagnostic,38.15514239999902
Particle POD then CG,100,91.04712559749964,84.59291047190518,68.88675097724948,132.63429542184227,134.5886633159168,0.7489802240896364,0.5966193966373863,73.4018605299329,0.35185837241079215,1.9383758373771118,-4.919570785635787e-18,0.47935353535353536,0.0,0.0,ratio_1_000000_num_1,1.0,125,4.0,training_case_diagnostic,38.15514239999902
CG then POD,27,10.078006422342263,10.070393242948306,10.153890037743407,10.553397705158213,10.809932304417455,0.9936661441711773,0.9927070032034113,1.7344664320962062,0.002623836345163361,0.5412701221069194,-0.0011788812404858427,0.0,0.20076318742985408,0.0,ratio_1_494949_num_50,1.494949,75,2.0,training_case_diagnostic,8.742475835999358
Particle POD then CG,27,140.88539481858652,127.51529069425314,102.97962328844922,231.17029698094447,237.6446899296511,0.719562199125511,0.5053763980485003,105.05448096252414,0.2500812738028571,6.588821107479467,0.0,1.4110886644219978,0.0,0.0,ratio_1_494949_num_50,1.494949,75,2.0,training_case_diagnostic,8.742475835999358
CG then POD,100,9.345461967314407,9.336892256392861,9.443241178940918,9.870316228885367,9.967780161475256,0.9945565084730756,0.9938036679530766,1.6871487549818949,0.002923422015808532,0.5564752335114813,-0.004709213291302955,0.0,0.8761391694725028,0.0,ratio_1_494949_num_50,1.494949,75,2.0,training_case_diagnostic,8.742475835999358
Particle POD then CG,100,134.71348366356386,120.93028345140984,96.53411765826742,220.86707330815835,226.90711970255845,0.7346420409617629,0.522122478376967,101.43317381985341,0.2640424701776325,6.124320607062718,0.0,1.3739169472502806,0.0,0.0,ratio_1_494949_num_50,1.494949,75,2.0,training_case_diagnostic,8.742475835999358
CG then POD,27,6.623599654161459,6.61446527395919,6.693527476396161,7.030343669953748,7.376348738320125,0.9972595725552635,0.9965993991344485,1.27911906573482,0.0001258034538230296,0.5349674482284404,-0.000696984405001539,0.0,0.10379349046015712,0.0,ratio_1_494949_num_50,1.494949,75,3.0,training_case_diagnostic,16.611105773001327
Particle POD then CG,27,132.6374355693031,119.78820654394559,94.28064676982616,213.73908669783629,220.38627622884465,0.7430876327894147,0.5387396213297013,101.51371955115644,0.2578867767745072,5.321585048966021,0.0,1.404983164983165,0.0,0.0,ratio_1_494949_num_50,1.494949,75,3.0,training_case_diagnostic,16.611105773001327
CG then POD,100,5.770051274314288,5.758481660512349,5.842574347197602,6.256718588333625,6.396910974425329,0.9979217222710388,0.9974505040752784,1.2307486971924366,0.00016508440160114656,0.5474451087232216,-0.00391988060514546,0.0,0.9781369248035915,0.0,ratio_1_494949_num_50,1.494949,75,3.0,training_case_diagnostic,16.611105773001327
Particle POD then CG,100,127.87874155021544,114.5423545450403,89.97597880289752,207.2561396855233,213.15007192138734,0.7546702029488871,0.5500771152190097,98.26315025728458,0.2715580865407287,5.124106056059905,0.0,1.3597306397306397,0.0,0.0,ratio_1_494949_num_50,1.494949,75,3.0,training_case_diagnostic,16.611105773001327
CG then POD,27,4.724258302537616,4.715292311335895,4.74914641476069,5.087701131395023,5.353350448573271,0.9986025749535459,0.9982063268145516,0.9963306133443733,2.134160604940766e-05,0.5349814132091951,-0.0003705141827743003,0.0,0.05728395061728395,0.0,ratio_1_494949_num_50,1.494949,75,4.0,training_case_diagnostic,28.934412179998617
Particle POD then CG,27,124.55449460550268,112.38989072221317,87.16043664221799,198.93579269238975,203.8426043699126,0.7638529141738672,0.5709739364070211,97.56965098446727,0.26863549471423215,4.5254273045221245,0.0,1.3821773288439956,0.0,0.0,ratio_1_494949_num_50,1.494949,75,4.0,training_case_diagnostic,28.934412179998617
CG then POD,100,3.8246068885759654,3.812059925216602,3.8655955498708794,4.243607978642756,4.444016545231788,0.9990849828147486,0.9987696379777709,0.917211190382338,3.368838247284551e-05,0.5422872633301019,-0.004674037605731931,0.0,1.1402918069584738,0.0,ratio_1_494949_num_50,1.494949,75,4.0,training_case_diagnostic,28.934412179998617
Particle POD then CG,100,120.79724841689779,108.15681220738969,84.38688260869617,194.4617500015031,198.86865303189657,0.7728082416145204,0.5790924267363388,94.62956786999278,0.2820721545617465,4.385184683682211,0.0,1.3410549943883279,0.0,0.0,ratio_1_494949_num_50,1.494949,75,4.0,training_case_diagnostic,28.934412179998617
CG then POD,27,10.078869120572056,10.071277245167238,10.155422991779703,10.552980290787591,10.807605604680411,0.9936650385014174,0.992709924126764,1.7340971627937443,0.0012244682405057076,0.5420235124635618,-0.0013418180354014737,0.0,0.20454545454545456,0.0,ratio_1_494949_num_50,1.494949,100,2.0,training_case_diagnostic,14.25491696699828
Particle POD then CG,27,140.88420250392875,127.51414750525473,103.00809816464869,231.17867985984697,237.63117434977502,0.7195584641997146,0.5054246213500495,105.05367195725564,0.2512764003340785,6.573738845794759,0.0,1.4123232323232324,0.0,0.0,ratio_1_494949_num_50,1.494949,100,2.0,training_case_diagnostic,14.25491696699828
CG then POD,100,9.346077586647436,9.33752973332232,9.442546821295098,9.868466042521044,9.972574579435376,0.9945557700752208,0.9937977179856848,1.6867029687360835,0.001316563906454504,0.5548061529971974,-0.006312323853775088,0.0,0.8655555555555555,0.0,ratio_1_494949_num_50,1.494949,100,2.0,training_case_diagnostic,14.25491696699828
Particle POD then CG,100,134.71283131430408,120.9293003274004,96.54063926305678,220.8751356727599,226.89792743625955,0.7346381509546369,0.5221496512286558,101.43217336777448,0.2655080667022754,6.185740034655463,0.0,1.375858585858586,0.0,0.0,ratio_1_494949_num_50,1.494949,100,2.0,training_case_diagnostic,14.25491696699828
CG then POD,27,6.623721843000534,6.614590746620615,6.693483888066129,7.030710583837925,7.375538696933938,0.9972594707712753,0.9966001331693229,1.2791370077264197,2.9531369902538432e-05,0.5357857991959701,-0.0006816338132124827,0.0,0.10929292929292929,0.0,ratio_1_494949_num_50,1.494949,100,3.0,training_case_diagnostic,28.48449421800251
Particle POD then CG,27,132.63729424437997,119.78804824143378,94.28229318959575,213.73994710598305,220.3857524777151,0.7430881299964457,0.5387434474324753,101.51366439469075,0.2584021761151782,5.374941533130832,0.0,1.3935353535353534,0.0,0.0,ratio_1_494949_num_50,1.494949,100,3.0,training_case_diagnostic,28.48449421800251
CG then POD,100,5.770141520536022,5.758572970001606,5.84260784858523,6.257405888824816,6.396974529251048,0.9979216565682517,0.9974504621204827,1.2307790325489427,3.486162234317771e-05,0.5477038521866533,-0.0040956046921751515,0.0,0.9741414141414141,0.0,ratio_1_494949_num_50,1.494949,100,3.0,training_case_diagnostic,28.48449421800251
Particle POD then CG,100,127.87871178202913,114.5423139448001,89.97648503337508,207.25648076584275,213.14869730224308,0.7546704270065433,0.5500820725465484,98.2630839617582,0.27208580665987386,5.164122616310671,0.0,1.3594949494949495,0.0,0.0,ratio_1_494949_num_50,1.494949,100,3.0,training_case_diagnostic,28.48449421800251
CG then POD,27,4.724282178803919,4.715316315819765,4.749240794360681,5.087586448673156,5.353328396706438,0.998602561060736,0.9982063378664501,0.9963261764240539,4.8992756850511e-05,0.5347347240415119,-0.0003841009235876983,0.0,0.05808080808080809,0.0,ratio_1_494949_num_50,1.494949,100,4.0,training_case_diagnostic,49.4260650599972
Particle POD then CG,27,124.55445047987169,112.38980758339244,87.16089382822474,198.9355565892941,203.8425751698936,0.7638534976862819,0.5709740731028053,97.56962956293636,0.26910817413604876,4.568542943799705,0.0,1.3812121212121211,0.0,0.0,ratio_1_494949_num_50,1.494949,100,4.0,training_case_diagnostic,49.4260650599972
CG then POD,100,3.8246282979794777,3.8120812841067053,3.865760181270209,4.243837508679616,4.443942883024632,0.9990849721128771,0.9987696750923923,0.9171959223595442,6.997474694943243e-05,0.5435127798394344,-0.004538613138215643,0.0,1.1393939393939394,0.0,ratio_1_494949_num_50,1.494949,100,4.0,training_case_diagnostic,49.4260650599972
Particle POD then CG,100,120.7972343504281,108.15676704875526,84.38690718930684,194.46170025678595,198.86818120982815,0.7728087212285562,0.5790930142619035,94.62955172183176,0.28252820861272226,4.416505450889458,0.0,1.3376767676767676,0.0,0.0,ratio_1_494949_num_50,1.494949,100,4.0,training_case_diagnostic,49.4260650599972
CG then POD,27,10.078834159908816,10.071242108515248,10.154269020176743,10.554446219601768,10.809123365652182,0.9936650852901892,0.9927079079935016,1.7344728546962895,6.930211241516178e-05,0.5425443029717164,-0.0012333102976947437,0.0,0.20699797979797982,0.0,ratio_1_494949_num_50,1.494949,125,2.0,training_case_diagnostic,20.661949655997887
Particle POD then CG,27,140.8846829363498,127.51470363250394,103.00262484022174,231.18095230857546,237.6334186302451,0.7195589686509171,0.5054215245697441,105.05412444683479,0.2509726367631877,6.588821107479467,0.0,1.4136242424242424,0.0,0.0,ratio_1_494949_num_50,1.494949,125,2.0,training_case_diagnostic,20.661949655997887
CG then POD,100,9.346102537919823,9.337551076915947,9.441472536539056,9.868325149977101,9.973678707933617,0.9945557466986638,0.9937963426103814,1.687091336253468,7.432678507406628e-05,0.5573979725229985,-0.0056125510127611675,0.0,0.8754424242424242,0.0,ratio_1_494949_num_50,1.494949,125,2.0,training_case_diagnostic,20.661949655997887
