field,rank,relative_l2_error_percent,normalised_l1_error_percent,active_bed_rmse,correlation,field_integral,integral_error_percent,field_centroid_error,maximum_volume_fraction,grid_fraction_phi_gt_one_percent,route,error_multiple_of_cycle_variation,maximum_over_true_maximum,minimum_volume_fraction,grid_fraction_phi_lt_zero_percent,case_id,size_ratio,grid_size,cutoff,evaluation_role,runtime_seconds
CG then POD,100,1.6867029687360837,1.578173031472745,0.004460808908683753,0.9998236177489745,282.76134388631124,-0.00021643261533905704,0.016433628688560055,0.5269974036306665,0.0,CG then POD,0.925312057208725,0.9956965294808642,-8.726444678372047e-09,0.52,ratio_1_494949_num_50,1.494949,100,2.0,training_case_diagnostic,14.25491696699828
Particle POD then CG,100,101.43217336777448,67.68462256018853,0.2683631783061162,0.7782444997039074,282.0115847100165,-0.2653720381399715,0.02388421838639236,2.4487440078366536,1.6199999999999999,Particle POD then CG,55.64489702441085,4.626599473531328,0.0,0.0,ratio_1_494949_num_50,1.494949,100,2.0,training_case_diagnostic,14.25491696699828
CG then POD,27,1.2791370077264193,1.2172325083329933,0.00327973310513779,0.999898474470347,282.76078205254737,2.270286349611478e-06,0.016389638077996704,0.5243097134984218,0.0,CG then POD,0.91614813489578,0.9953877844013791,-3.3401887669681117e-18,0.45999999999999996,ratio_1_494949_num_50,1.494949,100,3.0,training_case_diagnostic,28.48449421800251
Particle POD then CG,27,101.51366439469074,68.42624753121808,0.26036565628565683,0.782123970099713,282.0301300749586,-0.25839706956300534,0.019865602814736625,2.244292874573111,1.66,Particle POD then CG,72.7064839339893,4.260729211105595,0.0,0.0,ratio_1_494949_num_50,1.494949,100,3.0,training_case_diagnostic,28.48449421800251
CG then POD,100,1.2307790325489427,1.1734549135459198,0.003155111611901581,0.9999060733988497,282.7607956597578,7.0825557936628895e-06,0.017010069822187314,0.5250790608299072,0.0,CG then POD,0.8815130109813157,0.996848369463999,-1.4498279134169543e-05,0.7100000000000001,ratio_1_494949_num_50,1.494949,100,3.0,training_case_diagnostic,28.48449421800251
Particle POD then CG,100,98.26308396175818,66.44062724079059,0.25202658682439577,0.789178814687926,281.99143707774726,-0.27208107404513804,0.024311287643027896,2.19532131538623,1.59,Particle POD then CG,70.37834145748236,4.167758032920743,0.0,0.0,ratio_1_494949_num_50,1.494949,100,3.0,training_case_diagnostic,28.48449421800251
CG then POD,27,0.996326176424054,0.9789672920039241,0.002478653475164115,0.9999384656770488,282.76076223356534,-3.578653861300447e-06,0.017740502874505105,0.5218716411513917,0.0,CG then POD,0.8875614837902047,0.9979167581319682,-5.223469049228925e-10,0.4,ratio_1_494949_num_50,1.494949,100,4.0,training_case_diagnostic,49.4260650599972
Particle POD then CG,27,97.56962956293636,66.86279247991826,0.24280770023581252,0.7950072685632792,281.9998619621827,-0.26910040741546104,0.020618651164361085,2.027957403963177,1.63,Particle POD then CG,86.9183679370503,3.8778360780971877,0.0,0.0,ratio_1_494949_num_50,1.494949,100,4.0,training_case_diagnostic,49.4260650599972
CG then POD,100,0.9171959223595441,0.9064667760480706,0.0022797131418049116,0.9999478104694738,282.7607014104618,-2.5089099959726795e-05,0.014983160991546606,0.5226069668555307,0.0,CG then POD,0.8170695431264878,0.9993228392158655,-6.417031802618823e-05,1.7999999999999998,ratio_1_494949_num_50,1.494949,100,4.0,training_case_diagnostic,49.4260650599972
Particle POD then CG,100,94.62955172183176,64.99804930997178,0.23548969322273636,0.8011814681801651,281.96190072398434,-0.2825256212039659,0.02502050956705355,1.9878610375638608,1.6099999999999999,Particle POD then CG,84.2992458936294,3.8011642821708986,0.0,0.0,ratio_1_494949_num_50,1.494949,100,4.0,training_case_diagnostic,49.4260650599972
CG then POD,27,1.7344728546962895,1.6102730010918884,0.004594911949544645,0.9998132569292947,282.7609282805805,2.5942991423224685e-05,0.013646010393330474,0.5269624118873729,0.0,CG then POD,0.9513432563760768,0.9954312422496643,-4.077774540127247e-18,0.30720000000000003,ratio_1_494949_num_50,1.494949,125,2.0,training_case_diagnostic,20.661949655997887
Particle POD then CG,27,105.05412444683478,69.78541314990674,0.27841941351756955,0.7700930647483155,282.0512362238105,-0.2509607280457878,0.019387368561972436,2.542507528005142,1.6768,Particle POD then CG,57.62127240929902,4.8027930834129515,0.0,0.0,ratio_1_494949_num_50,1.494949,125,2.0,training_case_diagnostic,20.661949655997887
CG then POD,100,1.6870913362534683,1.576845162321366,0.004469278718633086,0.9998235396701505,282.76092892263927,2.617005918733489e-05,0.016451360294587426,0.5269065284161217,0.0,CG then POD,0.9253549061258045,0.9953256784524106,-2.1358375066765217e-08,0.2816,ratio_1_494949_num_50,1.494949,125,2.0,training_case_diagnostic,20.661949655997887
Particle POD then CG,100,101.43232119017436,67.68618817923875,0.26881811594742494,0.7782450855264257,282.0109349888639,-0.2652134912005313,0.0238703244526656,2.44840562919863,1.6383999999999999,Particle POD then CG,55.634744863009956,4.62503473117769,0.0,0.0,ratio_1_494949_num_50,1.494949,125,2.0,training_case_diagnostic,20.661949655997887
CG then POD,27,1.2791620808004067,1.2173606292728136,0.003283305869452923,0.9998984705131561,282.7608082784616,-2.1695793967466722e-07,0.016389255423259558,0.5245331909285625,0.0,CG then POD,0.9161484666977677,0.9956585893012819,-3.3107899489373965e-18,0.2944,ratio_1_494949_num_50,1.494949,125,3.0,training_case_diagnostic,45.804739074999816
Particle POD then CG,27,101.51363564466153,68.41789916999979,0.26065137728534044,0.782124292517045,282.0295160025028,-0.258625971645978,0.019873531080551874,2.2550852423069663,1.6704,Particle POD then CG,72.70506454239083,4.280558465966142,0.0,0.0,ratio_1_494949_num_50,1.494949,125,3.0,training_case_diagnostic,45.804739074999816
