model,rank,method,operation,block,calls_per_block,time_per_query_ms
paper_rank15,15,frozen_nn,coefficient_prediction,11,40,0.11213482500000001
paper_rank15,15,frozen_nn,coefficient_prediction,12,40,0.102435275
paper_rank15,15,frozen_nn,coefficient_prediction,13,40,0.102103075
paper_rank15,15,frozen_nn,coefficient_prediction,14,40,0.10357047500000001
paper_rank15,15,frozen_nn,coefficient_prediction,15,40,0.10008192499999999
paper_rank15,15,frozen_nn,coefficient_prediction,16,40,0.1019155
paper_rank15,15,frozen_nn,coefficient_prediction,17,40,0.09427680000000001
paper_rank15,15,frozen_nn,coefficient_prediction,18,40,0.10282097500000001
paper_rank15,15,frozen_nn,coefficient_prediction,19,40,0.10314559999999999
paper_rank15,15,frozen_nn,coefficient_prediction,20,40,0.099639625
paper_rank15,15,frozen_nn,coefficient_prediction,21,40,0.10181575000000001
paper_rank15,15,frozen_nn,coefficient_prediction,22,40,0.10405265
paper_rank15,15,frozen_nn,coefficient_prediction,23,40,0.102334225
paper_rank15,15,frozen_nn,coefficient_prediction,24,40,0.10348779999999999
paper_rank15,15,frozen_nn,full_field_prediction,0,40,0.155870025
paper_rank15,15,frozen_nn,full_field_prediction,1,40,0.16775065
paper_rank15,15,frozen_nn,full_field_prediction,2,40,0.2571396
paper_rank15,15,frozen_nn,full_field_prediction,3,40,0.173784125
paper_rank15,15,frozen_nn,full_field_prediction,4,40,0.18472905
paper_rank15,15,frozen_nn,full_field_prediction,5,40,0.174752875
paper_rank15,15,frozen_nn,full_field_prediction,6,40,0.1618192
paper_rank15,15,frozen_nn,full_field_prediction,7,40,0.2117432
paper_rank15,15,frozen_nn,full_field_prediction,8,40,0.167827325
paper_rank15,15,frozen_nn,full_field_prediction,9,40,0.17134145
paper_rank15,15,frozen_nn,full_field_prediction,10,40,0.165757075
paper_rank15,15,frozen_nn,full_field_prediction,11,40,0.1626746
paper_rank15,15,frozen_nn,full_field_prediction,12,40,0.175231825
paper_rank15,15,frozen_nn,full_field_prediction,13,40,0.182286725
paper_rank15,15,frozen_nn,full_field_prediction,14,40,0.18647385
paper_rank15,15,frozen_nn,full_field_prediction,15,40,0.21669387499999998
paper_rank15,15,frozen_nn,full_field_prediction,16,40,0.16627795
paper_rank15,15,frozen_nn,full_field_prediction,17,40,0.181492225
paper_rank15,15,frozen_nn,full_field_prediction,18,40,0.17314915
paper_rank15,15,frozen_nn,full_field_prediction,19,40,0.187115325
paper_rank15,15,frozen_nn,full_field_prediction,20,40,0.17172965
paper_rank15,15,frozen_nn,full_field_prediction,21,40,0.23697577500000003
paper_rank15,15,frozen_nn,full_field_prediction,22,40,0.17816005
paper_rank15,15,frozen_nn,full_field_prediction,23,40,0.18930885
paper_rank15,15,frozen_nn,full_field_prediction,24,40,0.17070944999999998
paper_rank15,15,piecewise_linear,coefficient_prediction,0,40,0.06667045
