model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,truth_norm,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual,integral_error_percent,minimum_prediction,maximum_prediction,fraction_phi_lt_threshold_percent,fraction_phi_gt_one_percent,filename
validation_selected_rank,6,frozen_nn,fitting,45,54,55,1.545455,14.566722001536746,0.39458539346639904,0.7512366554068244,0.8485600421678379,1.802486111757151e-18,0.008860791875463365,-3.7016995963144294e-07,0.5286325094243195,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_545455_num_55.stat
validation_selected_rank,6,frozen_nn,fitting,46,55,56,1.555556,14.616573688255107,0.40170392640243135,0.5743707963754169,0.7009050265307426,3.3881317890172014e-20,0.011773698461862502,-3.6901118964960896e-07,0.5291965161763109,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_555556_num_56.stat
validation_selected_rank,6,frozen_nn,fitting,47,56,57,1.565657,14.574785305263717,0.549667745852404,1.2771865756960816,1.3904460363382782,8.321251673826247e-18,0.010151190612964643,-3.660385446837302e-07,0.529705283487032,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_565657_num_57.stat
validation_selected_rank,6,frozen_nn,fitting,48,57,58,1.575758,14.666399297225942,0.37746841853413704,0.35855654822290955,0.5206200200378237,-6.2002811739014785e-19,0.013187604130297832,-3.6112399991704085e-07,0.5302144252056838,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_575758_num_58.stat
validation_selected_rank,6,frozen_nn,fitting,49,58,59,1.585859,14.668222685131505,0.49662934930152103,0.2709263645991283,0.5657223750414735,1.3637230450794235e-18,0.01362682490413193,-3.541888772272841e-07,0.5307046006507987,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_585859_num_59.stat
validation_selected_rank,6,frozen_nn,fitting,50,59,60,1.59596,14.711173772451778,0.4999467048078276,0.41921747052389124,0.6524492280941487,-4.1335207826009857e-19,0.013692163225264807,-3.452014181081647e-07,0.5311477348273906,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_595960_num_60.stat
validation_selected_rank,6,frozen_nn,fitting,51,60,61,1.606061,14.728207176255644,0.4139170995743525,0.5619196920258537,0.6979119612146486,2.439454888092385e-19,0.014416002866751668,-3.341731378831117e-07,0.5315738919792911,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_606061_num_61.stat
validation_selected_rank,6,frozen_nn,fitting,52,61,62,1.616162,14.78004627167974,0.4666946899900294,0.5678907957936327,0.7350536644436266,-1.145188544687814e-18,0.011907934482359593,-3.211543015373339e-07,0.5319595751444102,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_616162_num_62.stat
validation_selected_rank,6,frozen_nn,fitting,53,62,63,1.626263,14.756747418174106,0.4707460718697839,0.4692222017117885,0.6646588137985606,1.9583401740519424e-18,0.013682039224607364,-3.0622883272781074e-07,0.5323082999818747,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_626263_num_63.stat
validation_selected_rank,6,frozen_nn,fitting,54,63,64,1.636364,14.806979498821997,0.4469204764639156,0.3217653330190161,0.550700319425695,-9.181837148236616e-19,0.011963480272395022,-2.8950893073550945e-07,0.5326234739425869,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_636364_num_64.stat
