model,rank,method,evaluation_role,mode,case_count,mean_absolute_coefficient_error,median_absolute_coefficient_error,maximum_absolute_coefficient_error,mean_field_normalised_error_percent,median_field_normalised_error_percent,maximum_field_normalised_error_percent
validation_selected_rank,6,frozen_nn,external,6,10,0.02203699368190165,0.020160127819368448,0.04415684415208342,0.1586353368036506,0.14114535459701683,0.3427607867208397
validation_selected_rank,6,frozen_nn,fitting,1,90,0.023167879400497703,0.019842413936413728,0.08521531280897854,0.166067395548835,0.13425042096838702,0.6795584085458298
validation_selected_rank,6,frozen_nn,fitting,2,90,0.044478210966971944,0.03401276177108008,0.1679685828285029,0.3173090640359414,0.2507173267693869,1.3394829998278106
validation_selected_rank,6,frozen_nn,fitting,3,90,0.028584878957363412,0.021134415657080297,0.11250310983347789,0.2043574281018525,0.14507897770853606,0.8877477685522303
validation_selected_rank,6,frozen_nn,fitting,4,90,0.02546261953747018,0.022579923091302422,0.08156742845824075,0.18298235398057905,0.15493135990939785,0.634392118789421
validation_selected_rank,6,frozen_nn,fitting,5,90,0.03553180822489633,0.03522226978074849,0.09162936198374597,0.252375370863613,0.23839971151287498,0.7010925721340527
validation_selected_rank,6,frozen_nn,fitting,6,90,0.027708838964541706,0.025720851704437886,0.06862383743482564,0.19688885948271684,0.18367480947434528,0.5474832269649818
validation_selected_rank,6,frozen_nn,internal_validation,1,10,0.02852966851979897,0.022324514076410118,0.08552608491086033,0.2052587305141275,0.15477553251983966,0.6047829735977143
validation_selected_rank,6,frozen_nn,internal_validation,2,10,0.04566644108587011,0.031399358802227814,0.15908137157643512,0.3266721350824451,0.23266204646559063,1.12491650993114
validation_selected_rank,6,frozen_nn,internal_validation,3,10,0.04034414543236805,0.03297113614191799,0.0982883065579514,0.2966184273550451,0.24647356516375377,0.7790482649138109
validation_selected_rank,6,frozen_nn,internal_validation,4,10,0.040911817871812375,0.03531857820540254,0.1375445474448174,0.3073018833651414,0.2561129497053813,1.0901992799322648
validation_selected_rank,6,frozen_nn,internal_validation,5,10,0.03978646235577875,0.025353698168973367,0.09186400241113749,0.28983924971913283,0.17754815306193267,0.6666392150620739
validation_selected_rank,6,frozen_nn,internal_validation,6,10,0.03467905651671066,0.023518431083554288,0.10961966031366453,0.2585973155785498,0.1646944146721278,0.8688623210478236
validation_selected_rank,6,pchip,external,1,10,0.027590654324019505,0.029948994350804448,0.0432423784384568,0.19934927030551647,0.22524119362513695,0.3225814092230874
validation_selected_rank,6,pchip,external,2,10,0.03955810304180653,0.04825272070614406,0.06314737825512662,0.28219084709149195,0.34359478455072556,0.471069608145473
validation_selected_rank,6,pchip,external,3,10,0.05042227876112052,0.034821093070600884,0.13624601153155963,0.3654359591628883,0.24408418975957935,1.0767436186118484
validation_selected_rank,6,pchip,external,4,10,0.0385019843047804,0.029846664995820046,0.15126338265982434,0.28802526096705866,0.22006235720198342,1.195424953565564
validation_selected_rank,6,pchip,external,5,10,0.03200337057173064,0.027650668128655964,0.06987306357121542,0.22953587864329017,0.1883230528234609,0.4840957872827628
validation_selected_rank,6,pchip,external,6,10,0.030916054814300226,0.02625554093731112,0.07168274427388323,0.2255716818962143,0.18694249843216962,0.5564263998804297
validation_selected_rank,6,pchip,fitting,1,90,0.0,0.0,0.0,0.0,0.0,0.0
validation_selected_rank,6,pchip,fitting,2,90,0.0,0.0,0.0,0.0,0.0,0.0
validation_selected_rank,6,pchip,fitting,3,90,8.912623725463063e-17,0.0,1.9984014443252818e-15,6.042732506061612e-16,0.0,1.3265659935736177e-14
validation_selected_rank,6,pchip,fitting,4,90,0.0,0.0,0.0,0.0,0.0,0.0
validation_selected_rank,6,pchip,fitting,5,90,2.312964634635743e-19,0.0,2.0816681711721685e-17,1.512630780190411e-18,0.0,1.36136770217137e-16
validation_selected_rank,6,pchip,fitting,6,90,3.49161286303554e-17,0.0,9.159339953157541e-16,2.4192193168423454e-16,0.0,6.00970745830906e-15
validation_selected_rank,6,pchip,internal_validation,1,10,0.034133348086621315,0.03544985089237507,0.08202032442647678,0.24350199272681733,0.26047803522003715,0.5799925923628354
validation_selected_rank,6,pchip,internal_validation,2,10,0.061096572356847324,0.05190617263204032,0.13767122576249213,0.4319022046888584,0.3653817047097906,0.9735183527021183
validation_selected_rank,6,pchip,internal_validation,3,10,0.044932741145151535,0.03022766940784269,0.13136370199213587,0.3286472124132792,0.21191026587399026,1.041208946348962
validation_selected_rank,6,pchip,internal_validation,4,10,0.055991177505074666,0.044627623784432635,0.15801710625066656,0.412850052803735,0.30733668313673634,1.2524679360377502
validation_selected_rank,6,pchip,internal_validation,5,10,0.029127313611258053,0.022953167981255358,0.0796839905068015,0.21535003153534768,0.17507268301583057,0.6287437683429106
validation_selected_rank,6,pchip,internal_validation,6,10,0.0396083796900827,0.03100210944030516,0.11265692715917841,0.29050205143851915,0.23140707921127987,0.892936166136229
validation_selected_rank,6,piecewise_linear,external,1,10,0.02541682460432817,0.025248776894096103,0.04458805743385241,0.18429858354832668,0.1867372338461776,0.3326199649726152
validation_selected_rank,6,piecewise_linear,external,2,10,0.03565544552588598,0.044324369158422694,0.06640737485599368,0.25547607869738276,0.29959141254873944,0.495388675124336
validation_selected_rank,6,piecewise_linear,external,3,10,0.05052217667530142,0.03260742010185179,0.13728334974001039,0.3664859613550765,0.2324874568433759,1.0849416369151796
validation_selected_rank,6,piecewise_linear,external,4,10,0.036451472771269464,0.027465182856609226,0.14492464940006253,0.27216397780042134,0.20700302366436701,1.1453303452111006
validation_selected_rank,6,piecewise_linear,external,5,10,0.031345108585511726,0.02765733247987609,0.06732650916627798,0.225436599089396,0.18674690682966405,0.4664527042904145
validation_selected_rank,6,piecewise_linear,external,6,10,0.027946914230948694,0.024850556442750957,0.06720481728959836,0.2042110673417336,0.17613630924393223,0.5216671727326367
validation_selected_rank,6,piecewise_linear,fitting,1,90,0.0,0.0,0.0,0.0,0.0,0.0
validation_selected_rank,6,piecewise_linear,fitting,2,90,3.276699899067302e-19,0.0,1.3877787807814457e-17,2.320157737143317e-18,0.0,9.867218705553163e-17
validation_selected_rank,6,piecewise_linear,fitting,3,90,8.974302782386682e-17,0.0,1.9984014443252818e-15,6.090208498741665e-16,0.0,1.3265659935736177e-14
validation_selected_rank,6,piecewise_linear,fitting,4,90,8.818177669548769e-19,0.0,2.0816681711721685e-17,6.460377975276874e-18,0.0,1.636059535829466e-16
