model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,mode,absolute_coefficient_error,field_normalised_error_percent
validation_selected_rank,6,frozen_nn,fitting,12,14,15,1.141414,6,0.017532104228725844,0.13611927333969065
validation_selected_rank,6,frozen_nn,fitting,13,15,16,1.151515,1,0.033426087390814985,0.2573002572001172
validation_selected_rank,6,frozen_nn,fitting,13,15,16,1.151515,2,0.048950496834885726,0.37680076876573176
validation_selected_rank,6,frozen_nn,fitting,13,15,16,1.151515,3,0.0005623140971325324,0.004328462381128378
validation_selected_rank,6,frozen_nn,fitting,13,15,16,1.151515,4,0.052421523545605725,0.40351930315399953
validation_selected_rank,6,frozen_nn,fitting,13,15,16,1.151515,5,0.05817446230585463,0.4478030568988459
validation_selected_rank,6,frozen_nn,fitting,13,15,16,1.151515,6,0.06051912595899239,0.46585131226138904
validation_selected_rank,6,frozen_nn,fitting,14,16,17,1.161616,1,0.036258971197781875,0.2792460142947922
validation_selected_rank,6,frozen_nn,fitting,14,16,17,1.161616,2,0.033495982077971664,0.2579670404640598
validation_selected_rank,6,frozen_nn,fitting,14,16,17,1.161616,3,0.05554794124719806,0.4277987125158767
validation_selected_rank,6,frozen_nn,fitting,14,16,17,1.161616,4,0.031431665866363936,0.24206884878092552
validation_selected_rank,6,frozen_nn,fitting,14,16,17,1.161616,5,0.08290425996143176,0.6384815508418333
validation_selected_rank,6,frozen_nn,fitting,14,16,17,1.161616,6,0.024671996325881608,0.19000971100690414
validation_selected_rank,6,frozen_nn,fitting,15,17,18,1.171717,1,0.010870820700798589,0.08317695857887726
validation_selected_rank,6,frozen_nn,fitting,15,17,18,1.171717,2,0.020399474461081812,0.15608446583574126
validation_selected_rank,6,frozen_nn,fitting,15,17,18,1.171717,3,0.010873146163845021,0.08319475161850265
validation_selected_rank,6,frozen_nn,fitting,15,17,18,1.171717,4,0.0031297677139941055,0.023947093478348988
validation_selected_rank,6,frozen_nn,fitting,15,17,18,1.171717,5,0.09162936198374597,0.7010925721340527
validation_selected_rank,6,frozen_nn,fitting,15,17,18,1.171717,6,0.02871049974937074,0.21967541496262977
validation_selected_rank,6,frozen_nn,fitting,16,18,19,1.181818,1,0.000856081120570451,0.006528428845477676
validation_selected_rank,6,frozen_nn,fitting,16,18,19,1.181818,2,0.005174075995468819,0.03945722685135708
validation_selected_rank,6,frozen_nn,fitting,16,18,19,1.181818,3,0.01844519801245048,0.14066209366325982
validation_selected_rank,6,frozen_nn,fitting,16,18,19,1.181818,4,0.021655481952556357,0.1651435473166186
validation_selected_rank,6,frozen_nn,fitting,16,18,19,1.181818,5,0.016267503987712074,0.12405511548547556
validation_selected_rank,6,frozen_nn,fitting,16,18,19,1.181818,6,0.01760516553259707,0.13425605089366946
validation_selected_rank,6,frozen_nn,fitting,17,19,20,1.191919,1,0.045207058333707195,0.3426441285924523
validation_selected_rank,6,frozen_nn,fitting,17,19,20,1.191919,2,0.06491746685379485,0.49203796222154805
validation_selected_rank,6,frozen_nn,fitting,17,19,20,1.191919,3,0.07152581194082719,0.5421255088845014
validation_selected_rank,6,frozen_nn,fitting,17,19,20,1.191919,4,0.002768981229129816,0.020987323557759993
validation_selected_rank,6,frozen_nn,fitting,17,19,20,1.191919,5,0.07756870303053534,0.5879272316227467
validation_selected_rank,6,frozen_nn,fitting,17,19,20,1.191919,6,0.04810996111054819,0.3646465023150896
validation_selected_rank,6,frozen_nn,fitting,18,20,21,1.20202,1,0.03158995142519139,0.23949627892752548
validation_selected_rank,6,frozen_nn,fitting,18,20,21,1.20202,2,0.061950602456019244,0.46967273123767206
validation_selected_rank,6,frozen_nn,fitting,18,20,21,1.20202,3,0.05492113287511008,0.41637946133667925
validation_selected_rank,6,frozen_nn,fitting,18,20,21,1.20202,4,0.05096144528641624,0.3863594581260559
validation_selected_rank,6,frozen_nn,fitting,18,20,21,1.20202,5,0.024646645269179226,0.1868562490193624
validation_selected_rank,6,frozen_nn,fitting,18,20,21,1.20202,6,0.051697370283034116,0.39193880504835543
validation_selected_rank,6,frozen_nn,fitting,19,21,22,1.212121,1,0.07758760003608067,0.5874693772830553
validation_selected_rank,6,frozen_nn,fitting,19,21,22,1.212121,2,0.15422367998811715,1.167734137965187
validation_selected_rank,6,frozen_nn,fitting,19,21,22,1.212121,3,0.009838149917274552,0.07449143681246645
validation_selected_rank,6,frozen_nn,fitting,19,21,22,1.212121,4,0.0683708086235193,0.5176826754239013
validation_selected_rank,6,frozen_nn,fitting,19,21,22,1.212121,5,0.0016935243435885483,0.012822843999286002
validation_selected_rank,6,frozen_nn,fitting,19,21,22,1.212121,6,0.00034461669167904635,0.002609331299948569
validation_selected_rank,6,frozen_nn,fitting,20,22,23,1.222222,1,0.0369447372024343,0.2769272948170807
validation_selected_rank,6,frozen_nn,fitting,20,22,23,1.222222,2,0.07836896753979139,0.5874316024901121
validation_selected_rank,6,frozen_nn,fitting,20,22,23,1.222222,3,0.050446044252280275,0.37812927163239485
validation_selected_rank,6,frozen_nn,fitting,20,22,23,1.222222,4,0.06516089092724045,0.48842759804940716
validation_selected_rank,6,frozen_nn,fitting,20,22,23,1.222222,5,0.011877332602956078,0.08902912394143704
validation_selected_rank,6,frozen_nn,fitting,20,22,23,1.222222,6,0.050013469824642325,0.37488681614011615
validation_selected_rank,6,frozen_nn,fitting,21,23,24,1.232323,1,0.05317545703533,0.399092146110385
validation_selected_rank,6,frozen_nn,fitting,21,23,24,1.232323,2,0.11584267957913608,0.8694218382307164
validation_selected_rank,6,frozen_nn,fitting,21,23,24,1.232323,3,0.04483415725832096,0.3364890691467992
validation_selected_rank,6,frozen_nn,fitting,21,23,24,1.232323,4,0.05559897049480865,0.4172810859257612
