model,rank,method,evaluation_role,heldout_position,source_index,size_ratio,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual
validation_selected_rank,6,pchip,fitting_loo,60,70,1.707071,0.39074918180038826,0.7518628181714202,0.8473385512452032,-2.3107058801097313e-18
validation_selected_rank,6,pchip,fitting_loo,61,71,1.717172,0.46484055469609953,0.5464557795009488,0.7174194451227167,1.9617283058409596e-18
validation_selected_rank,6,pchip,fitting_loo,62,72,1.727273,0.4532770237686316,0.5218401308240751,0.6912142811133561,1.7245590806097555e-18
validation_selected_rank,6,pchip,fitting_loo,63,73,1.737374,0.4407149834971824,0.9054396671731645,1.0070008379189872,-3.0357660829594124e-18
validation_selected_rank,6,pchip,fitting_loo,64,74,1.747475,0.3220446141909264,0.9293454311120544,0.9835627401738535,6.627185779317646e-18
validation_selected_rank,6,pchip,fitting_loo,65,75,1.757576,0.3349361377505422,1.1254070660751239,1.1741904789015287,-6.667843360785852e-18
validation_selected_rank,6,pchip,fitting_loo,66,76,1.767677,0.44299030141665635,0.9899000694494576,1.084501062537652,3.550762114890027e-18
validation_selected_rank,6,pchip,fitting_loo,67,77,1.777778,0.3828158329379165,0.8649985694186507,0.9459230872772876,-6.830473686658678e-18
validation_selected_rank,6,pchip,fitting_loo,68,78,1.787879,0.47379181789619135,0.9752347788865381,1.0842331671072005,5.800481622797449e-18
validation_selected_rank,6,pchip,fitting_loo,69,79,1.79798,0.41162183957445253,0.489658253367979,0.6396856602316756,-1.6601845766184287e-19
validation_selected_rank,6,pchip,fitting_loo,70,80,1.808081,0.5492841018458059,0.5602002541172125,0.7845618836353765,-5.319366908757006e-18
validation_selected_rank,6,pchip,fitting_loo,71,81,1.818182,0.4520998228911252,0.22906681423668437,0.5068193516853338,1.1578940388966286e-18
validation_selected_rank,6,pchip,fitting_loo,72,82,1.828283,0.4595007758587063,0.6270590018856104,0.7773956231292727,1.917682592583736e-18
validation_selected_rank,6,pchip,fitting_loo,73,83,1.838384,0.44456273989654466,0.7971231969469457,0.9127110280999239,-2.1819568721270777e-18
validation_selected_rank,6,pchip,fitting_loo,74,84,1.848485,0.41812040797552824,0.49996975099295893,0.651762554519338,-1.0469327228063152e-18
validation_selected_rank,6,pchip,fitting_loo,75,85,1.858586,0.5743257554732696,0.6017952584554519,0.8318699456642552,4.4858864886587746e-18
validation_selected_rank,6,pchip,fitting_loo,76,86,1.868687,0.3656241076016702,0.393207771156556,0.5369295478528052,-6.301925127571995e-19
validation_selected_rank,6,pchip,fitting_loo,77,87,1.878788,0.3777305015932315,0.8152038900802407,0.8984640862248188,-3.279711571768651e-18
validation_selected_rank,6,pchip,fitting_loo,78,88,1.888889,0.6030879165481295,0.7251010378055104,0.943125946050176,4.7366082410460475e-18
validation_selected_rank,6,pchip,fitting_loo,79,89,1.89899,0.42931224644263144,0.44721870166839234,0.6199302961362404,-1.446732273910345e-18
validation_selected_rank,6,pchip,fitting_loo,80,90,1.909091,0.36245766752131175,0.3656136836399209,0.5148290263861921,1.2536087619363645e-18
validation_selected_rank,6,pchip,fitting_loo,81,91,1.919192,0.4442420068202306,0.42767058930923585,0.6166466521305018,-1.8736368793265124e-18
validation_selected_rank,6,pchip,fitting_loo,82,92,1.929293,0.3799208427088262,0.36813188928670715,0.5290188414739124,1.5449880957918438e-18
validation_selected_rank,6,pchip,fitting_loo,83,93,1.939394,0.32520889481620263,0.30550874378594617,0.44620221626212336,-1.2095630486791409e-18
validation_selected_rank,6,pchip,fitting_loo,84,94,1.949495,0.35786593366208463,0.28467981410178644,0.4572861500558276,1.765216662077962e-18
validation_selected_rank,6,pchip,fitting_loo,85,95,1.959596,0.2865804946424876,0.4865351629503599,0.5646634791596207,-1.8804131429045468e-18
validation_selected_rank,6,pchip,fitting_loo,86,96,1.969697,0.398138649373107,0.6107285969125383,0.7290430736324316,2.3649159887340065e-18
validation_selected_rank,6,pchip,fitting_loo,87,97,1.979798,0.3540809727500813,0.41188154941488975,0.5431572019333275,-1.260385025514399e-18
validation_selected_rank,6,pchip,fitting_loo,88,98,1.989899,0.4225945614189586,0.6755028267778477,0.7967999951843543,4.208059681959364e-18
paper_rank15,15,piecewise_linear,fitting_loo,1,1,1.010101,0.40610180794786266,1.6803883731358005,1.728763651569672,2.168404344971009e-19
paper_rank15,15,piecewise_linear,fitting_loo,2,2,1.020202,0.4559435753455447,1.7545662697314754,1.8128395788867584,1.6263032587282567e-18
paper_rank15,15,piecewise_linear,fitting_loo,3,3,1.030303,0.39381350092121603,1.9021619445242492,1.9425007430382606,9.64939933512099e-18
paper_rank15,15,piecewise_linear,fitting_loo,4,4,1.040404,0.3611679174533056,1.3353836063708306,1.3833624401296656,-2.1141942363467336e-18
paper_rank15,15,piecewise_linear,fitting_loo,5,6,1.060606,0.34874500374114226,1.2111541592881534,1.2603640248735373,2.0057740190981832e-18
paper_rank15,15,piecewise_linear,fitting_loo,6,7,1.070707,0.40464830473899227,1.277780111674398,1.3403217018010078,-2.791820594150174e-18
paper_rank15,15,piecewise_linear,fitting_loo,7,9,1.090909,0.3718534762485215,1.2309802011994997,1.2859188401852182,2.6291902682773483e-18
paper_rank15,15,piecewise_linear,fitting_loo,8,10,1.10101,0.35314162339520627,0.9848452378607311,1.0462452622168439,3.076423664427619e-18
paper_rank15,15,piecewise_linear,fitting_loo,9,11,1.111111,0.31361709897004586,1.0829942556716365,1.1274893536455826,-1.6127507315721878e-18
paper_rank15,15,piecewise_linear,fitting_loo,10,12,1.121212,0.3525565419335042,1.5252689545457936,1.565484429485429,-9.486769009248164e-19
paper_rank15,15,piecewise_linear,fitting_loo,11,13,1.131313,0.3666218834785461,0.8775525090992186,0.951057312506292,0.0
paper_rank15,15,piecewise_linear,fitting_loo,12,14,1.141414,0.3454542623458792,1.6083820452024504,1.6450627497766106,3.0899761915836876e-18
