model,rank,case_set,case_identifier,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,truth_field_norm,projection_error_absolute,coefficient_error_absolute,coefficient_field_error_absolute,rom_error_absolute,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual,coefficient_field_equivalence_residual,field_uncertainty_absolute,field_uncertainty_percent,modal_uncertainty_norm_absolute,modal_uncertainty_norm_percent,rom_to_field_uncertainty_ratio,coefficient_to_modal_uncertainty_ratio,field_ratio_stable,modal_vector_ratio_stable,uncertainty_rule_frozen_before_evaluation,external_test_used_for_selection
validation_selected_rank,6,numbered,numbered_simulation_51,fitting,observed_numbered_windows,empirical_primary,1.505051,51,14.437176438141057,0.09825692594987868,0.10862443724567242,0.10862443724567243,0.1464707884325724,0.6805827051493064,0.7523939165743062,1.01453902056372,2.0396553369883552e-18,1.3877787807814457e-17,0.11777831144999726,0.8157987952467144,0.043484184850484116,0.3011959093026308,1.2436142667468666,2.498021697294461,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_51,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.505051,51,14.437176438141057,0.09825692594987868,0.10862443724567242,0.10862443724567243,0.1464707884325724,0.6805827051493064,0.7523939165743062,1.01453902056372,2.0396553369883552e-18,1.3877787807814457e-17,0.10767734129906793,0.7458337976295631,0.03975486959876471,0.27536457540089176,1.3602749349629446,2.732355516242158,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_61,fitting,observed_numbered_windows,empirical_primary,1.606061,61,14.728207176255644,0.06096256796325899,0.08276069640574724,0.08276069640574721,0.10278991955556224,0.4139170995743524,0.5619196920258662,0.6979119612146476,1.2807138162485021e-18,2.7755575615628914e-17,0.11963944204844427,0.8123150402265067,0.0491895853167955,0.33398216584091384,0.8591641501800105,1.6824841248964355,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_61,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.606061,61,14.728207176255644,0.06096256796325899,0.08276069640574724,0.08276069640574721,0.10278991955556224,0.4139170995743524,0.5619196920258662,0.6979119612146476,1.2807138162485021e-18,2.7755575615628914e-17,0.10937885656265021,0.7426488183774831,0.04497096028384548,0.30533899846511026,0.9397604142687855,1.8403141912777128,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_71,fitting,observed_numbered_windows,empirical_primary,1.707071,71,14.947414820003644,0.058406901109474225,0.07260196123889502,0.072601961238895,0.09317945520846221,0.3907491818003883,0.4857158385792181,0.623381744137877,4.438452643612534e-19,2.7755575615628914e-17,0.12327891588742283,0.82475075036014,0.04395568660276369,0.2940688214790106,0.7558425910684746,1.651708046219672,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_71,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.707071,71,14.947414820003644,0.058406901109474225,0.07260196123889502,0.072601961238895,0.09317945520846221,0.3907491818003883,0.4857158385792181,0.623381744137877,4.438452643612534e-19,2.7755575615628914e-17,0.1127061997881056,0.7540180101061658,0.040185934151128165,0.2688487249136126,0.8267464911747993,1.8066510776098712,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_81,fitting,observed_numbered_windows,empirical_primary,1.808081,81,15.127707855158455,0.0830940942220646,0.10003984202444062,0.10003984202444063,0.13004844669145563,0.5492841018458062,0.661302049076309,0.8596705326187927,2.710505431213761e-20,1.3877787807814457e-17,0.11539711170018911,0.7628195415000655,0.04239244672335713,0.2802304693430576,1.126964486159167,2.359850628044106,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_81,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.808081,81,15.127707855158455,0.0830940942220646,0.10003984202444062,0.10003984202444063,0.13004844669145563,0.5492841018458062,0.661302049076309,0.8596705326187927,2.710505431213761e-20,1.3877787807814457e-17,0.10550035934878584,0.6973981806028258,0.03875676173428097,0.2561971853592159,1.2326824997961707,2.5812229285387844,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_91,fitting,observed_numbered_windows,empirical_primary,1.909091,91,15.179102126120826,0.05501781951701544,0.06661954638483776,0.0666195463848377,0.086400951527912,0.3624576675213121,0.43888990159830393,0.5692098966725421,7.115076756936123e-19,5.551115123125783e-17,0.1258262130642941,0.8289437149761787,0.05265874097183616,0.3469160463794418,0.686668933473848,1.26511848090839,True,True,True,False
validation_selected_rank,6,numbered,numbered_simulation_91,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.909091,91,15.179102126120826,0.05501781951701544,0.06661954638483776,0.0666195463848377,0.086400951527912,0.3624576675213121,0.43888990159830393,0.5692098966725421,7.115076756936123e-19,5.551115123125783e-17,0.11503503422398191,0.7578513753196566,0.048142592249769835,0.31716363622670457,0.751083807735327,1.3837964112777135,True,True,True,False
