model,rank,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,mode,window_count,sample_ddof,short_duration,target_duration,duration_exponent,duration_factor,mean_window_coefficient,canonical_coefficient,mean_vs_canonical_coefficient,short_modal_sd_absolute,target_modal_sd_absolute,short_modal_sd_percent,target_modal_sd_percent,naive_ten_window_mean_sd_absolute,truth_field_norm
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.30303,31,5,10,1,34.372,343.72,-0.461059,0.3458923842818767,-0.0058709022018001615,-0.006360026776223366,0.0004891245744232048,0.07145625452161888,0.024716174248335387,0.5192305816340353,0.1795979038734621,0.02259645173530211,13.76195028743179
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.30303,31,6,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.04084299310078867,0.039759100306471666,0.001083892794317004,0.11819193200741687,0.04088168916492688,0.8588312669270183,0.29706319461321123,0.03737557061991944,13.76195028743179
validation_selected_rank,6,internal_validation,observed_numbered_windows,empirical_primary,1.40404,41,1,10,1,34.372,343.72,-0.461059,0.3458923842818767,-14.164092203761438,-14.163673146316135,-0.00041905744530268407,0.02924164829741067,0.010114463449923457,0.20636833832508855,0.07138123658355386,0.009247021115740248,14.169638877135696
validation_selected_rank,6,internal_validation,observed_numbered_windows,empirical_primary,1.40404,41,2,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.07889139720701452,0.0780898696810978,0.0008015275259167232,0.06754961859860287,0.023364898634402147,0.4767208196646547,0.164894100950618,0.02136106498472563,14.169638877135696
validation_selected_rank,6,internal_validation,observed_numbered_windows,empirical_primary,1.40404,41,3,10,1,34.372,343.72,-0.461059,0.3458923842818767,-0.38648464738393545,-0.3877450961985378,0.0012604488146023551,0.07287936104470005,0.025208415956691023,0.5143346395531582,0.17790443479380152,0.02304647753190006,14.169638877135696
validation_selected_rank,6,internal_validation,observed_numbered_windows,empirical_primary,1.40404,41,4,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.011604819515095182,0.012183097974805074,-0.0005782784597098915,0.05107134160210374,0.017665188115225862,0.3604279688772668,0.12466928951683184,0.016150176262316063,14.169638877135696
validation_selected_rank,6,internal_validation,observed_numbered_windows,empirical_primary,1.40404,41,5,10,1,34.372,343.72,-0.461059,0.3458923842818767,-0.030578928221596312,-0.030407892261770503,-0.00017103595982580905,0.06003207934479651,0.020764639057970467,0.42366696755882055,0.14654317755039292,0.01898381034055056,14.169638877135696
validation_selected_rank,6,internal_validation,observed_numbered_windows,empirical_primary,1.40404,41,6,10,1,34.372,343.72,-0.461059,0.3458923842818767,-0.06226738814896203,-0.0628037918743479,0.0005364037253858672,0.07285272569576992,0.025199202992343402,0.5141466647631082,0.17783941574548626,0.023038054695010805,14.169638877135696
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.505051,51,1,10,1,34.372,343.72,-0.461059,0.3458923842818767,-14.423733991885252,-14.423926959741436,0.00019296785618472256,0.02320996216273548,0.008028149151560717,0.16076524562945643,0.055607474120434236,0.0073396344840571765,14.437176438141057
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.505051,51,2,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.5433359928585413,0.5439137417396882,-0.0005777488811469222,0.04598428912691138,0.015905615405614554,0.3185130369774185,0.11017123378498084,0.014541509022475555,14.437176438141057
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.505051,51,3,10,1,34.372,343.72,-0.461059,0.3458923842818767,-0.2714609545945675,-0.2711716676955341,-0.000289286899033403,0.039267437556507585,0.013582307601060118,0.27198834706188363,0.09407869786212149,0.012417454055700074,14.437176438141057
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.505051,51,4,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.05462758507036723,0.05415522127401476,0.0004723637963524735,0.05201098764883689,0.01799020452671143,0.36025733890340866,0.1246102699083441,0.01644731843252104,14.437176438141057
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.505051,51,5,10,1,34.372,343.72,-0.461059,0.3458923842818767,-0.008194038848568366,-0.008171025561783982,-2.3013286784383247e-05,0.06132230770525379,0.021210919221837134,0.4247527760570176,0.14691875044070785,0.019391816372629534,14.437176438141057
validation_selected_rank,6,fitting,observed_numbered_windows,empirical_primary,1.505051,51,6,10,1,34.372,343.72,-0.461059,0.3458923842818767,0.01881973856843918,0.019088140254770247,-0.00026840168633106634,0.07171986800939721,0.024807356146151895,0.4967721238061694,0.1718296943480876,0.02267981363963416,14.437176438141057
