model,rank,evaluation_role,uncertainty_source,prediction_source,duration_scaling,size_ratio,source_simulation,quantity,mode,loo_eligible,exclusion_reason,observed_absolute,predicted_absolute,absolute_error,relative_error_percent
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.505051,51,mode,5,True,,0.021210919221837134,0.020377924934253246,0.0008329942875838874,3.927195605583658
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.505051,51,mode,6,True,,0.024807356146151895,0.026689465462235263,0.0018821093160833677,7.586900050916226
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.505051,51,modal_vector_summary,0,True,,0.043484184850484116,0.049897407305624544,0.012047199735701522,27.70478457196467
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.505051,51,field,0,True,,0.11777831144999726,0.1256621937873971,0.007883882337399839,6.693832030990646
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.606061,61,mode,1,True,,0.006545433368785867,0.00774596727046974,0.0012005339016838727,18.34154950547703
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.606061,61,mode,2,True,,0.010227244116906052,0.013177430084257154,0.0029501859673511013,28.84634348831396
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.606061,61,mode,3,True,,0.025502356427504022,0.018716210140216103,0.006786146287287919,26.60987939125944
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.606061,61,mode,4,True,,0.020689635146562167,0.01757851153622546,0.003111123610336705,15.03711200462448
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.606061,61,mode,5,True,,0.01999121463897178,0.018176088825316863,0.001815125813654915,9.079617454141214
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.606061,61,mode,6,True,,0.028179713178659978,0.025388499362354374,0.0027912138163056037,9.905046934329135
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.606061,61,modal_vector_summary,0,True,,0.0491895853167955,0.04321910882099133,0.008772759356670252,17.83458693577326
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.606061,61,field,0,True,,0.11963944204844427,0.12052861366871004,0.0008891716202657635,0.7432094341477462
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.707071,71,mode,1,True,,0.007463785389378762,0.005800018885519469,0.0016637665038592934,22.291188948531314
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.707071,71,mode,2,True,,0.010449244762899755,0.011931607849139509,0.0014823630862397536,14.186317957666303
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.707071,71,mode,3,True,,0.023850112679372086,0.020850075418573116,0.0030000372607989698,12.578713153811202
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.707071,71,mode,4,True,,0.017166818545739496,0.022357500587690326,0.00519068204195083,30.236715254609987
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.707071,71,mode,5,True,,0.015141258428796595,0.020064687346575773,0.004923428917779178,32.51664279380829
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.707071,71,mode,6,True,,0.025969642578556853,0.023316157928949803,0.00265348464960705,10.217640237367123
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.707071,71,modal_vector_summary,0,True,,0.04395568660276369,0.04535219797661803,0.00849647315182882,19.329633566216682
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.707071,71,field,0,True,,0.12327891588742283,0.1175182768743167,0.005760639013106139,4.672850155793633
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.808081,81,mode,1,True,,0.005054604402253072,0.008943088824659485,0.003888484422406413,76.92955002914046
