model,rank,case_set,case_identifier,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,mode,truth_field_norm,projected_coefficient,predicted_coefficient,coefficient_error_absolute,coefficient_error_percent,modal_uncertainty_absolute,modal_uncertainty_percent,coefficient_error_to_uncertainty_ratio,mode_ratio_stable,uncertainty_rule_frozen_before_evaluation,external_test_used_for_selection
paper_rank15,15,external,external_simulation_10,external,interpolated_external,empirical_primary,1.3125,10,15,13.789162595949454,-0.003071657872071851,-0.0020999133885664274,0.0009717444835054237,0.0070471609624131355,0.020527838768669603,0.14886936480609506,0.047337885612612006,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,1,13.789162595949454,-13.763254391980189,-13.738889198979084,0.0243651930011044,0.1766981339988089,0.00828752056452188,0.06010169585610896,2.9399858270529755,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,2,13.789162595949454,-0.6593733772676107,-0.7034989974905471,0.044125620222936424,0.3200021750116882,0.015495792453948528,0.11237660261182497,2.847587198529666,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,3,13.789162595949454,-0.5223225574287046,-0.5386626452162522,0.016340087787547586,0.11849949316245978,0.025859206798476336,0.18753282963007803,0.6318866589717039,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,4,13.789162595949454,-0.009906181199481548,-0.0326985615533662,0.02279238035388465,0.16529198343472926,0.025842836943833995,0.1874141142655413,0.8819612337229419,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,5,13.789162595949454,0.00695374833083419,0.02127036347918593,0.014316615148351742,0.10382512388792359,0.022257755427923662,0.1614148449773291,0.6432191779046466,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,6,13.789162595949454,0.028317146087697805,0.011392981397922608,0.016924164689775197,0.12273526091241134,0.03603138414522499,0.2613021921708948,0.4697062045011126,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,7,13.789162595949454,0.03016800654441315,-0.0007956542311990528,0.030963660775612203,0.22455069740571287,0.021348697607143887,0.15482229220659877,1.4503770368292104,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,8,13.789162595949454,0.012142218227419609,0.0024630931475461693,0.00967912507987344,0.07019371200044205,0.01549116394640899,0.11234303634188414,0.6248158700894234,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,9,13.789162595949454,-0.017914629337082422,0.004342651292071415,0.022257280629153837,0.16141140170246365,0.01859949025707362,0.13488484255408803,1.1966607859421907,True,True,False
